source:Oryza_pangenes/oryzasativa_plus_oryza_nivara_oryza_sativa_algEnsemblCompara_chrpos_WGA75	oryza_sativa	oryza_indica	oryza_nivara	
ONIVA06G12100.1.faa	0	0	1	
ONIVA06G12110.1.faa	0	0	1	
ONIVA06G12120.1.faa	0	0	1	
ONIVA06G12130.1.faa	0	0	1	
ONIVA06G12140.1.faa	0	0	1	
ONIVA06G12070.1.faa	0	0	1	
ONIVA06G11940.1.faa	0	0	1	
ONIVA06G11920.1.faa	0	0	1	
ONIVA06G11890.1.faa	0	0	1	
ONIVA06G11870.1.faa	0	0	1	
ONIVA06G10630.1.faa	0	0	1	
ONIVA06G10640.1.faa	0	0	1	
BGIOSGA022617-PA.faa	0	1	1	
ONIVA06G10660.1.faa	0	0	1	
ONIVA06G10590.1.faa	0	0	1	
BGIOSGA001760-PA.faa	0	1	1	
BGIOSGA001758-PA.faa	0	1	1	
BGIOSGA001756-PA.faa	0	1	1	
BGIOSGA003406-PA.faa	0	1	1	
ONIVA06G10430.1.faa	0	0	1	
BGIOSGA001749-PA.faa	0	1	1	
BGIOSGA003411-PA.faa	0	1	1	
ONIVA06G10290.1.faa	0	0	1	
ONIVA06G09920.1.faa	0	0	1	
ONIVA06G09900.1.faa	0	0	1	
ONIVA06G07970.1.faa	0	0	1	
ONIVA06G07940.1.faa	0	0	1	
ONIVA06G07890.1.faa	0	0	1	
ONIVA06G07860.4.faa	0	0	1	
ONIVA06G07660.1.faa	0	0	1	
ONIVA06G07670.1.faa	0	0	1	
BGIOSGA001027-PA.faa	0	1	1	
ONIVA06G06600.1.faa	0	0	1	
ONIVA06G06610.1.faa	0	0	1	
ONIVA06G06620.1.faa	0	0	1	
ONIVA06G06580.1.faa	0	0	1	
ONIVA06G06550.1.faa	0	0	1	
ONIVA06G06510.1.faa	0	0	1	
ONIVA06G06470.1.faa	0	0	1	
ONIVA06G06450.1.faa	0	0	1	
BGIOSGA025373-PA.faa	0	1	1	
BGIOSGA025375-PA.faa	0	1	1	
ONIVA06G06380.1.faa	0	0	1	
ONIVA06G06350.1.faa	0	0	1	
ONIVA06G05080.1.faa	0	0	1	
BGIOSGA005647-PA.faa	0	1	1	
ONIVA06G04940.1.faa	0	0	1	
BGIOSGA005639-PA.faa	0	1	1	
BGIOSGA005638-PA.faa	0	1	1	
ONIVA06G04850.1.faa	0	0	1	
BGIOSGA009037-PA.faa	0	1	1	
ONIVA06G04770.1.faa	0	0	1	
ONIVA06G04730.2.faa	0	0	1	
BGIOSGA005630-PA.faa	0	1	1	
ONIVA06G04680.1.faa	0	0	1	
ONIVA06G04650.1.faa	0	0	1	
BGIOSGA009048-PA.faa	0	1	1	
ONIVA06G04590.1.faa	0	0	1	
ONIVA06G04540.1.faa	0	0	1	
ONIVA06G04490.1.faa	0	0	1	
ONIVA06G04460.1.faa	0	0	1	
ONIVA06G04430.1.faa	0	0	1	
BGIOSGA005617-PA.faa	0	1	1	
BGIOSGA009059-PA.faa	0	1	1	
BGIOSGA009062-PA.faa	0	1	1	
ONIVA06G04290.1.faa	0	0	1	
BGIOSGA014579-PA.faa	0	1	1	
ONIVA06G04060.1.faa	0	0	1	
ONIVA06G04070.1.faa	0	0	1	
BGIOSGA022341-PA.faa	0	1	1	
BGIOSGA021880-PA.faa	0	1	1	
BGIOSGA021883-PA.faa	0	1	1	
BGIOSGA021878-PA.faa	0	1	1	
ONIVA06G04020.1.faa	0	0	1	
ONIVA06G03700.1.faa	0	0	1	
ONIVA06G03680.1.faa	0	0	1	
ONIVA06G03610.1.faa	0	0	1	
ONIVA06G03590.1.faa	0	0	1	
ONIVA06G03570.1.faa	0	0	1	
ONIVA06G03550.1.faa	0	0	1	
ONIVA06G03490.1.faa	0	0	1	
BGIOSGA036655-PA.faa	0	1	1	
ONIVA06G03400.1.faa	0	0	1	
ONIVA06G03210.1.faa	0	0	1	
ONIVA06G03180.1.faa	0	0	1	
BGIOSGA022596-PA.faa	0	1	1	
ONIVA06G02490.1.faa	0	0	1	
ONIVA06G02410.1.faa	0	0	1	
ONIVA06G01800.1.faa	0	0	1	
ONIVA06G01750.1.faa	0	0	1	
ONIVA06G01670.1.faa	0	0	1	
ONIVA06G01210.1.faa	0	0	1	
BGIOSGA022072-PA.faa	0	1	1	
BGIOSGA012150-PA.faa	0	1	1	
ONIVA06G01130.1.faa	0	0	1	
ONIVA06G01110.1.faa	0	0	1	
ONIVA06G01090.1.faa	0	0	1	
BGIOSGA012143-PA.faa	0	1	1	
ONIVA06G00990.1.faa	0	0	1	
ONIVA06G00950.1.faa	0	0	1	
ONIVA06G00910.1.faa	0	0	1	
ONIVA06G00010.3.faa	0	0	1	
ONIVA06G00020.1.faa	0	0	1	
BGIOSGA020584-PA.faa	0	1	1	
BGIOSGA023554-PA.faa	0	1	1	
BGIOSGA023269-PA.faa	0	1	1	
BGIOSGA023270-PA.faa	0	1	1	
BGIOSGA020886-PA.faa	0	1	1	
BGIOSGA023271-PA.faa	0	1	0	
BGIOSGA020915-PA.faa	0	1	0	
BGIOSGA023234-PA.faa	0	1	0	
BGIOSGA023233-PA.faa	0	1	0	
BGIOSGA020917-PA.faa	0	1	0	
BGIOSGA023078-PA.faa	0	1	0	
BGIOSGA023028-PA.faa	0	1	1	
BGIOSGA022998-PA.faa	0	1	0	
BGIOSGA022999-PA.faa	0	1	0	
BGIOSGA023000-PA.faa	0	1	0	
BGIOSGA023001-PA.faa	0	1	0	
BGIOSGA021166-PA.faa	0	1	0	
BGIOSGA021170-PA.faa	0	2	1	
BGIOSGA021175-PA.faa	0	1	1	
BGIOSGA021177-PA.faa	0	1	1	
BGIOSGA021182-PA.faa	0	1	0	
BGIOSGA021181-PA.faa	0	1	0	
BGIOSGA022949-PA.faa	0	1	0	
BGIOSGA022950-PA.faa	0	1	0	
BGIOSGA021204-PA.faa	0	1	0	
BGIOSGA022951-PA.faa	0	1	1	
BGIOSGA021203-PA.faa	0	1	0	
BGIOSGA022952-PA.faa	0	1	0	
BGIOSGA022944-PA.faa	0	1	1	
BGIOSGA021238-PA.faa	0	1	0	
BGIOSGA021237-PA.faa	0	1	0	
BGIOSGA021236-PA.faa	0	1	0	
BGIOSGA022922-PA.faa	0	1	1	
BGIOSGA021235-PA.faa	0	1	1	
BGIOSGA022898-PA.faa	0	1	0	
BGIOSGA021270-PA.faa	0	1	1	
BGIOSGA021269-PA.faa	0	1	0	
BGIOSGA021268-PA.faa	0	1	0	
BGIOSGA022771-PA.faa	0	1	1	
BGIOSGA021596-PA.faa	0	1	0	
BGIOSGA021595-PA.faa	0	1	0	
BGIOSGA022479-PA.faa	0	1	0	
BGIOSGA021722-PA.faa	0	1	0	
BGIOSGA022480-PA.faa	0	1	1	
BGIOSGA021721-PA.faa	0	1	0	
BGIOSGA022477-PA.faa	0	1	0	
BGIOSGA021728-PA.faa	0	1	0	
BGIOSGA021731-PA.faa	0	1	0	
BGIOSGA021906-PA.faa	0	1	0	
BGIOSGA021909-PA.faa	0	1	0	
BGIOSGA022309-PA.faa	0	1	0	
BGIOSGA022307-PA.faa	0	1	1	
BGIOSGA021928-PA.faa	0	1	1	
BGIOSGA021929-PA.faa	0	1	1	
BGIOSGA021932-PA.faa	0	1	1	
BGIOSGA022035-PA.faa	0	1	0	
BGIOSGA022207-PA.faa	0	1	1	
BGIOSGA022178-PA.faa	0	1	0	
BGIOSGA022070-PA.faa	0	1	0	
BGIOSGA022082-PA.faa	0	1	0	
BGIOSGA022140-PA.faa	0	1	0	
BGIOSGA022118-PA.faa	0	1	0	
Os06t0100550-00.faa	1	0	0	
Os06t0100700-00.faa	1	0	0	
Os06t0101000-01.faa	1	1	1	
ONIVA06G00040.1.faa	0	0	1	
BGIOSGA022120-PA.faa	0	1	0	
Os06t0101100-01.faa	1	0	0	
Os06t0101300-01.faa	1	1	1	
Os06t0101600-01.faa	1	1	1	
ONIVA06G00070.2.faa	0	0	1	
Os06t0101800-01.faa	1	1	1	
BGIOSGA022115-PA.faa	0	1	0	
Os06t0102100-01.faa	1	1	1	
BGIOSGA022124-PA.faa	0	1	1	
Os06t0102200-00.faa	1	0	0	
Os06t0102300-03.faa	1	1	0	
BGIOSGA022114-PA.faa	0	1	0	
BGIOSGA022124-PA.faa	0	1	1	
Os06t0102600-01.faa	1	0	0	
Os06t0102700-01.faa	1	1	1	
Os06t0102725-00.faa	1	0	0	
Os06t0102750-00.faa	1	1	0	
Os06t0102800-01.faa	1	0	0	
Os06t0102900-01.faa	1	1	1	
BGIOSGA022128-PA.faa	0	1	1	
BGIOSGA022128-PA.faa	0	1	1	
Os06t0103100-01.faa	1	0	0	
Os06t0103200-01.faa	1	1	1	
Os06t0103300-01.faa	1	1	1	
ONIVA06G00160.1.faa	0	0	1	
ONIVA06G00170.1.faa	0	0	1	
Os06t0103400-02.faa	1	1	0	
Os06t0103500-01.faa	1	1	1	
Os06t0103600-01.faa	1	1	1	
Os06t0103700-01.faa	1	1	1	
BGIOSGA022132-PA.faa	0	1	0	
Os06t0103800-01.faa	1	1	1	
Os06t0103900-01.faa	1	1	1	
Os06t0103950-00.faa	1	0	0	
Os06t0104000-01.faa	1	1	1	
Os06t0104100-01.faa	1	1	1	
ONIVA06G00250.1.faa	0	0	1	
Os06t0104200-01.faa	1	1	1	
Os06t0104300-01.faa	1	1	1	
Os06t0104400-01.faa	1	1	1	
Os06t0104800-00.faa	1	1	1	
BGIOSGA022136-PA.faa	0	1	0	
BGIOSGA022105-PA.faa	0	1	0	
BGIOSGA022137-PA.faa	0	1	0	
Os06t0104900-01.faa	1	2	1	
Os06t0105100-00.faa	1	1	1	
ONIVA06G00310.1.faa	0	0	1	
Os06t0105300-01.faa	1	0	0	
Os06t0105350-01.faa	1	1	1	
Os06t0105400-02.faa	1	1	1	
Os06t0105500-01.faa	1	1	1	
Os06t0105600-01.faa	1	1	1	
Os06t0105700-01.faa	1	1	1	
Os06t0105800-02.faa	1	0	1	
ONIVA06G00390.1.faa	0	0	1	
Os06t0105900-01.faa	1	1	1	
Os06t0106000-01.faa	1	2	1	
BGIOSGA022098-PA.faa	0	1	0	
Os06t0106100-01.faa	1	1	1	
ONIVA06G00430.1.faa	0	0	1	
BGIOSGA022146-PA.faa	0	1	0	
BGIOSGA022147-PA.faa	0	1	0	
BGIOSGA022148-PA.faa	0	1	0	
BGIOSGA022096-PA.faa	0	1	0	
Os06t0106500-01.faa	1	0	0	
Os06t0106800-01.faa	1	1	1	
Os06t0106900-01.faa	1	1	1	
BGIOSGA022093-PA.faa	0	1	0	
BGIOSGA022149-PA.faa	0	1	0	
Os06t0107000-01.faa	1	1	1	
Os06t0107100-02.faa	1	1	1	
Os06t0107266-00.faa	1	1	0	
BGIOSGA022152-PA.faa	0	1	0	
Os06t0107600-01.faa	1	1	1	
Os06t0107650-00.faa	1	0	0	
Os06t0107700-01.faa	1	1	1	
Os06t0107750-00.faa	1	0	0	
Os06t0107800-02.faa	1	2	1	
ONIVA06G00510.1.faa	0	0	1	
ONIVA06G00520.2.faa	0	0	1	
Os06t0108500-01.faa	1	1	1	
Os06t0108600-00.faa	1	1	1	
BGIOSGA022087-PA.faa	0	1	0	
BGIOSGA022155-PA.faa	0	1	0	
BGIOSGA022156-PA.faa	0	1	1	
BGIOSGA022157-PA.faa	0	1	0	
Os06t0108751-00.faa	1	0	0	
Os06t0108900-02.faa	1	1	1	
Os06t0109000-00.faa	1	1	1	
Os06t0109100-00.faa	1	1	1	
Os06t0109200-01.faa	1	1	0	
Os06t0109300-01.faa	1	1	1	
ONIVA06G00590.1.faa	0	0	1	
Os06t0109400-01.faa	1	1	1	
Os06t0109500-01.faa	1	1	1	
Os06t0109600-01.faa	1	1	1	
ONIVA06G00630.1.faa	0	0	1	
Os06t0109801-00.faa	1	0	0	
Os06t0110000-01.faa	1	1	1	
Os06t0110100-01.faa	1	1	1	
Os06t0110200-01.faa	1	1	1	
Os06t0110400-00.faa	1	1	1	
Os06t0111100-01.faa	1	1	1	
Os06t0111200-01.faa	1	1	1	
Os06t0111300-00.faa	1	1	1	
Os06t0111400-01.faa	1	1	1	
ONIVA06G00720.1.faa	0	0	1	
BGIOSGA022166-PA.faa	0	1	0	
Os06t0111500-01.faa	1	1	1	
BGIOSGA022168-PA.faa	0	1	0	
Os06t0111550-00.faa	1	0	0	
Os06t0111600-01.faa	1	1	1	
Os06t0111700-01.faa	1	1	0	
Os06t0111800-02.faa	1	1	1	
Os06t0112000-01.faa	1	1	1	
Os06t0112100-01.faa	1	1	1	
BGIOSGA022077-PA.faa	0	1	1	
ONIVA06G00790.1.faa	0	0	1	
ONIVA06G00800.1.faa	0	0	1	
BGIOSGA022077-PA.faa	0	1	1	
Os06t0112151-00.faa	1	0	0	
Os06t0112200-01.faa	1	1	1	
Os06t0112300-01.faa	1	1	0	
Os06t0112400-01.faa	1	1	1	
Os06t0112700-00.faa	1	2	1	
BGIOSGA022076-PA.faa	0	1	1	
BGIOSGA022175-PA.faa	0	1	0	
BGIOSGA022075-PA.faa	0	1	0	
BGIOSGA022074-PA.faa	0	1	0	
BGIOSGA022073-PA.faa	0	1	0	
BGIOSGA022072-PA.faa	0	1	1	
Os06t0112800-01.faa	1	0	0	
Os06t0113150-00.faa	1	0	0	
Os06t0113500-01.faa	1	0	0	
Os06t0113600-01.faa	1	1	1	
Os06t0113800-00.faa	1	1	1	
Os06t0113900-01.faa	1	1	1	
ONIVA06G01260.1.faa	0	0	1	
BGIOSGA022067-PA.faa	0	1	0	
Os06t0113950-01.faa	1	0	0	
Os06t0114000-02.faa	1	1	1	
Os06t0114066-00.faa	1	0	0	
Os06t0114200-00.faa	1	1	1	
Os06t0114300-01.faa	1	1	0	
Os06t0114366-00.faa	1	1	1	
BGIOSGA022065-PA.faa	0	1	1	
BGIOSGA022065-PA.faa	0	1	1	
Os06t0114400-00.faa	1	0	0	
Os06t0114500-01.faa	1	1	1	
Os06t0114600-01.faa	1	1	1	
Os06t0114650-01.faa	1	0	0	
Os06t0114651-00.faa	1	0	0	
Os06t0114700-01.faa	1	1	1	
Os06t0114900-01.faa	1	0	1	
Os06t0115000-01.faa	1	1	1	
ONIVA06G01360.2.faa	0	0	1	
Os06t0115100-01.faa	1	1	0	
Os06t0115200-01.faa	1	1	1	
Os06t0115300-01.faa	1	1	1	
Os06t0115400-01.faa	1	1	1	
Os06t0115500-01.faa	1	1	1	
Os06t0115550-00.faa	1	0	0	
Os06t0115600-01.faa	1	1	1	
Os06t0115700-02.faa	1	1	1	
Os06t0115800-02.faa	1	1	1	
BGIOSGA022186-PA.faa	0	1	1	
BGIOSGA022186-PA.faa	0	1	1	
Os06t0116100-01.faa	1	0	0	
Os06t0116200-01.faa	1	1	1	
Os06t0116300-01.faa	1	1	1	
Os06t0116400-01.faa	1	1	1	
Os06t0116500-01.faa	1	1	1	
Os06t0116600-01.faa	1	1	1	
ONIVA06G01500.1.faa	0	0	1	
BGIOSGA022053-PA.faa	0	1	0	
Os06t0116800-01.faa	1	1	1	
ONIVA06G01520.1.faa	0	0	1	
Os06t0116900-01.faa	1	1	0	
BGIOSGA022189-PA.faa	0	1	0	
BGIOSGA022190-PA.faa	0	1	0	
Os06t0116933-00.faa	1	0	0	
Os06t0117101-01.faa	1	0	0	
Os06t0117500-00.faa	2	2	1	
BGIOSGA022195-PA.faa	0	1	1	
Os06t0117800-00.faa	1	1	0	
BGIOSGA022046-PA.faa	0	1	0	
Os06t0118000-01.faa	1	1	1	
Os06t0118075-00.faa	1	0	0	
Os06t0118150-00.faa	1	0	0	
Os06t0118301-00.faa	1	1	0	
BGIOSGA022195-PA.faa	0	1	1	
BGIOSGA022043-PA.faa	0	1	0	
BGIOSGA022042-PA.faa	0	1	0	
Os06t0118600-01.faa	1	0	0	
Os06t0118700-02.faa	1	1	1	
Os06t0118800-00.faa	1	1	1	
Os06t0118900-00.faa	1	1	1	
Os06t0119100-01.faa	1	1	1	
ONIVA06G01580.1.faa	0	0	1	
Os06t0119200-00.faa	1	1	0	
Os06t0119600-01.faa	1	1	1	
Os06t0119700-00.faa	1	0	0	
Os06t0119800-00.faa	1	1	1	
Os06t0119900-01.faa	1	1	1	
Os06t0120200-01.faa	1	1	1	
Os06t0120466-00.faa	1	0	0	
Os06t0121000-00.faa	1	1	1	
BGIOSGA022039-PA.faa	0	1	1	
BGIOSGA022039-PA.faa	0	1	1	
Os06t0121200-00.faa	1	1	1	
ONIVA06G01710.1.faa	0	0	1	
Os06t0121300-01.faa	1	1	0	
Os06t0121400-00.faa	1	1	1	
Os06t0121500-01.faa	1	1	1	
ONIVA06G19850.1.faa	0	0	1	
ONIVA06G19860.1.faa	0	0	1	
Os06t0121600-00.faa	1	0	0	
Os06t0121650-01.faa	1	0	0	
Os06t0121700-00.faa	1	1	1	
Os06t0121800-00.faa	1	1	1	
ONIVA06G19890.1.faa	0	0	1	
Os06t0122001-01.faa	1	0	0	
Os06t0122200-01.faa	1	1	1	
Os06t0122800-01.faa	1	1	0	
Os06t0122500-01.faa	1	1	0	
Os06t0123000-01.faa	1	1	1	
BGIOSGA022208-PA.faa	0	1	1	
BGIOSGA022033-PA.faa	0	1	0	
BGIOSGA022208-PA.faa	0	1	1	
BGIOSGA022209-PA.faa	0	1	1	
Os06t0124300-01.faa	1	1	1	
Os06t0124400-01.faa	1	1	1	
BGIOSGA022032-PA.faa	0	1	0	
Os06t0124900-01.faa	1	1	0	
Os06t0125000-00.faa	1	1	1	
BGIOSGA022030-PA.faa	0	1	0	
BGIOSGA022029-PA.faa	0	1	0	
Os06t0125132-00.faa	1	0	1	
Os06t0125200-01.faa	1	1	1	
Os06t0125300-01.faa	1	1	1	
Os06t0125400-00.faa	1	1	1	
Os06t0125500-03.faa	1	1	1	
Os06t0125600-01.faa	1	1	1	
Os06t0125700-01.faa	1	0	0	
Os06t0125800-01.faa	1	1	1	
Os06t0125900-00.faa	1	0	0	
Os06t0126000-02.faa	1	1	1	
Os06t0126050-00.faa	1	0	0	
Os06t0126250-01.faa	1	1	1	
Os06t0126100-01.faa	1	0	0	
Os06t0126400-00.faa	1	1	1	
Os06t0126500-01.faa	1	1	1	
Os06t0127000-04.faa	1	1	1	
Os06t0127100-01.faa	1	1	1	
Os06t0127200-01.faa	1	1	0	
Os06t0127250-00.faa	1	0	0	
Os06t0127300-01.faa	1	1	1	
ONIVA06G01870.1.faa	0	0	1	
Os06t0127500-01.faa	1	1	0	
Os06t0127600-01.faa	1	1	0	
Os06t0127700-01.faa	1	1	1	
ONIVA06G01890.1.faa	0	0	1	
ONIVA06G01900.1.faa	0	0	1	
Os06t0127800-01.faa	1	1	1	
ONIVA06G01920.1.faa	0	0	1	
Os06t0127825-00.faa	1	0	0	
Os06t0127900-01.faa	1	1	1	
ONIVA06G01940.1.faa	0	0	1	
ONIVA06G01950.2.faa	0	0	1	
BGIOSGA022223-PA.faa	0	1	0	
Os06t0128000-00.faa	1	1	1	
Os06t0128100-01.faa	1	1	1	
Os06t0128150-00.faa	1	0	0	
Os06t0128200-01.faa	1	1	1	
Os06t0128300-01.faa	1	1	1	
Os06t0128400-01.faa	1	1	1	
BGIOSGA022228-PA.faa	0	1	1	
ONIVA06G02020.1.faa	0	0	1	
Os06t0128450-00.faa	1	0	0	
Os06t0128500-01.faa	1	1	0	
BGIOSGA022228-PA.faa	0	1	1	
Os06t0128600-01.faa	1	0	0	
Os06t0128700-01.faa	1	0	0	
Os06t0128800-01.faa	1	1	1	
Os06t0129000-01.faa	1	1	1	
Os06t0129100-01.faa	1	1	1	
Os06t0129200-01.faa	1	1	1	
Os06t0129300-01.faa	1	1	1	
ONIVA06G02080.1.faa	0	0	1	
Os06t0129400-02.faa	1	1	1	
ONIVA06G02100.1.faa	0	0	1	
BGIOSGA022014-PA.faa	0	1	1	
BGIOSGA022014-PA.faa	0	1	1	
Os06t0129600-00.faa	1	1	1	
Os06t0129650-00.faa	1	0	0	
Os06t0129700-01.faa	1	1	1	
Os06t0129800-00.faa	1	1	1	
Os06t0129900-01.faa	1	1	1	
Os06t0130000-02.faa	1	1	1	
Os06t0130100-02.faa	1	1	1	
Os06t0130200-01.faa	1	1	1	
Os06t0130400-01.faa	1	1	1	
ONIVA06G02200.1.faa	0	0	1	
Os06t0130500-01.faa	1	1	0	
Os06t0130600-01.faa	1	1	1	
Os06t0130800-01.faa	1	1	1	
BGIOSGA022008-PA.faa	0	1	0	
Os06t0130900-00.faa	1	0	1	
Os06t0131001-00.faa	1	0	0	
Os06t0131100-02.faa	1	1	1	
ONIVA06G02250.1.faa	0	0	1	
ONIVA06G02260.1.faa	0	0	1	
Os06t0131300-01.faa	1	1	1	
Os06t0131350-00.faa	1	0	0	
Os06t0131500-01.faa	1	1	1	
Os06t0131700-01.faa	1	1	1	
ONIVA06G02300.1.faa	0	0	1	
BGIOSGA022240-PA.faa	0	1	1	
BGIOSGA022240-PA.faa	0	1	1	
Os06t0131800-00.faa	1	0	0	
Os06t0132000-00.faa	1	0	0	
Os06t0132100-01.faa	1	1	1	
Os06t0132300-01.faa	1	1	1	
Os06t0132400-01.faa	1	1	1	
Os06t0132500-01.faa	1	1	1	
Os06t0132600-02.faa	1	1	1	
Os06t0132801-01.faa	1	0	0	
Os06t0133000-02.faa	1	1	1	
Os06t0133100-01.faa	1	0	0	
Os06t0133200-01.faa	1	0	1	
ONIVA06G02520.1.faa	0	0	1	
Os06t0133300-00.faa	1	1	1	
Os06t0133400-01.faa	1	1	1	
Os06t0133500-00.faa	1	1	1	
Os06t0133600-01.faa	1	1	1	
ONIVA06G02570.1.faa	0	0	1	
BGIOSGA022245-PA.faa	0	1	1	
BGIOSGA022245-PA.faa	0	1	1	
Os06t0133800-01.faa	1	1	1	
Os06t0133900-01.faa	1	1	1	
Os06t0134000-01.faa	1	1	1	
Os06t0134050-01.faa	1	1	1	
BGIOSGA021996-PA.faa	0	1	1	
ONIVA06G02640.1.faa	0	0	1	
BGIOSGA021996-PA.faa	0	1	1	
Os06t0134200-01.faa	1	1	0	
Os06t0134300-01.faa	1	1	0	
Os06t0134400-01.faa	1	1	0	
Os06t0134466-01.faa	1	1	1	
Os06t0134500-01.faa	1	1	1	
Os06t0134700-01.faa	1	1	1	
Os06t0134750-00.faa	1	0	0	
Os06t0134800-01.faa	1	1	1	
Os06t0134900-01.faa	1	1	1	
ONIVA06G02700.2.faa	0	0	1	
BGIOSGA021988-PA.faa	0	1	1	
BGIOSGA021989-PA.faa	0	1	0	
BGIOSGA021988-PA.faa	0	1	1	
BGIOSGA021987-PA.faa	0	1	1	
BGIOSGA022249-PA.faa	0	1	1	
Os06t0135000-01.faa	1	0	0	
Os06t0135300-01.faa	1	0	0	
Os06t0135460-00.faa	1	0	1	
BGIOSGA021987-PA.faa	0	1	1	
BGIOSGA022249-PA.faa	0	1	1	
