
# ignored species : 2

# ../ens_synthelogs.pl -d Plants -c Brassicaceae -r arabidopsis_thaliana -o  -f  -a 1 -t protein -G 75 -L 0

# supported species in NCBI taxon Brassicaceae : 4

# total selected species : 4

# re-using /homes/bcontreras/plant_tools/compara/downloads/Compara.100.protein_default.homologies.arabidopsis_thaliana.tsv.gz

# re-using /homes/bcontreras/plant_tools/compara/downloads/Arabidopsis_thaliana.TAIR10.47.gtf.gz

gene	location	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	arabidopsis_thaliana
AT1G01225	1:95935-97407:+	fgenesh2_kg.1__108__AT1G01225.1	Bra032627.1-P	NA	AT1G01225.1
AT1G01230	1:97412-99240:+	fgenesh2_kg.1__107__AT1G01230.1	Bra032628.1-P	Bo8g117780.1	AT1G01230.1
AT1G01240	1:99865-101987:+	fgenesh2_kg.1__106__AT1G01240.3	Bra032629.1-P	Bo8g117790.1,Bo5g002610.1	AT1G01240.3
AT1G01250	1:104440-105330:-	fgenesh2_kg.1__103__AT1G01250.1	Bra032630.1-P,Bra033274.1-P	Bo5g002600.1	AT1G01250.1
AT1G01260	1:108946-111699:+	fgenesh2_kg.1__101__AT1G01260.1	Bra033273.1-P	Bo5g002590.1	AT1G01260.1
AT1G01280	1:112263-113947:+	fgenesh2_kg.1__100__AT1G01280.1	Bra033272.1-P,Bra032631.1-P	Bo5g002580.1	AT1G01280.1
AT1G01290	1:114202-116407:+	fgenesh1_pm.C_scaffold_1000085	Bra032632.1-P	NA	AT1G01290.1
AT1G01300	1:116784-118845:+	fgenesh2_kg.1__99__AT1G01300.1	Bra033271.1-P	Bo5g002570.1	AT1G01300.1
AT1G01305	1:119381-119997:+	fgenesh2_kg.1__98__AT1G01305.1	NA	NA	AT1G01305.1
AT1G01310	1:120154-121130:+	fgenesh2_kg.1__97__AT1G01310.1	Bra033270.1-P	Bo5g002560.1	AT1G01310.1
AT1G01320	1:121067-130577:-	fgenesh2_kg.1__96__AT1G01320.1	Bra033269.1-P	Bo5g002550.1	AT1G01320.1
AT1G01340	1:132270-135924:-	fgenesh2_kg.1__95__AT1G01340.1	NA	NA	AT1G01340.2
AT1G01350	1:136090-138162:+	scaffold_100114.1	Bra033268.1-P	Bo5g002540.1	AT1G01350.1
AT1G01355	1:138489-139680:+	scaffold_100113.1	NA	NA	AT1G01355.1
AT1G01360	1:141870-143261:+	Al_scaffold_0001_94	NA	Bo5g002530.1	AT1G01360.1
AT1G01370	1:143489-146479:+	Al_scaffold_0001_93	NA	NA	AT1G01370.2
AT1G01380	1:147043-148014:+	Al_scaffold_0001_92	NA	NA	AT1G01380.1
AT1G01390	1:148013-149848:-	fgenesh2_kg.1__94__AT1G01390.1	NA	NA	AT1G01390.2
AT1G01400	1:150689-152210:-	fgenesh1_pg.C_scaffold_1000083	NA	NA	AT1G01400.1
AT1G01410	1:153113-154198:+	fgenesh2_kg.1__93__AT1G01410.1	NA	NA	AT1G01410.1
AT1G01420	1:154367-156178:-	fgenesh2_kg.1__92__AT1G01420.1	NA	NA	AT1G01420.2
AT1G01430	1:156477-158823:-	fgenesh2_kg.1__91__AT1G01430.1	NA	Bo5g002500.1	AT1G01430.1
AT1G01440	1:159628-162953:-	scaffold_100104.1	Bra033264.1-P	Bo5g002490.1	AT1G01440.1
AT1G01450	1:164105-165517:-	Al_scaffold_0001_84	NA	NA	AT1G01450.1
AT1G01453	1:166589-168088:-	NA	Bra033263.1-P	Bo5g002480.1	AT1G01453.2
AT1G01460	1:168559-171386:+	fgenesh1_pm.C_scaffold_1000070	Bra033262.1-P	Bo5g002470.1	AT1G01460.1
AT1G01470	1:171525-172948:-	fgenesh1_pg.C_scaffold_1000073	NA	NA	AT1G01470.1
AT1G01480	1:175706-178406:+	scaffold_100096.1	Bra033261.1-P	Bo5g002460.1	AT1G01480.1
AT1G01490	1:180017-182749:-	scaffold_100095.1	Bra033260.1-P	Bo5g002450.1	AT1G01490.4
AT1G01500	1:185033-187135:+	NA	Bra033259.1-P	NA	AT1G01500.1
AT1G01510	1:187145-190472:+	fgenesh1_pm.C_scaffold_1000066	Bra033258.1-P	Bo5g002440.1	AT1G01510.1
AT1G01520	1:190408-192436:+	NA	Bra033257.1-P	Bo5g002430.1	AT1G01520.3
AT1G01530	1:192634-193670:-	Al_scaffold_0001_74	NA	NA	AT1G01530.1
AT1G01540	1:195645-198787:+	fgenesh2_kg.1__79__AT1G01540.2	Bra033255.1-P	Bo5g002420.1	AT1G01540.2
AT1G01550	1:199527-201775:+	fgenesh2_kg.1__78__AT1G01550.1	Bra033254.1-P	Bo5g002410.1	AT1G01550.2
AT1G01560	1:202103-204440:+	scaffold_100086.1	NA	NA	AT1G01560.2
AT1G01570	1:204935-207642:+	Al_scaffold_0001_70	Bra033253.1-P	Bo5g002400.1	AT1G01570.2
AT1G01580	1:208995-213082:+	fgenesh2_kg.1__73__AT1G01580.1	Bra033252.1-P	NA	AT1G01580.2
AT1G01590	1:214150-217734:+	Al_scaffold_0001_67	NA	NA	AT1G01590.1
AT1G01600	1:218834-221286:+	scaffold_100080.1	Bra032642.1-P,Bra033251.1-P	Bo8g117940.1	AT1G01600.1
AT1G01610	1:221642-224351:-	scaffold_100079.1	Bra032643.1-P,Bra033249.1-P	Bo8g117950.1	AT1G01610.1
AT1G01620	1:225665-227543:-	fgenesh2_kg.1__69__AT1G01620.1	Bra033248.1-P,Bra032644.1-P	Bo8g117970.1,Bo5g001010.1	AT1G01620.1
AT1G01630	1:228799-230979:+	fgenesh2_kg.1__67__AT1G01630.1	Bra032645.1-P,Bra033247.1-P	Bo8g117990.1,Bo5g001020.1	AT1G01630.1
AT1G01640	1:230908-232630:-	scaffold_100076.1	Bra033246.1-P	Bo5g001030.1	AT1G01640.1
AT1G01650	1:232840-237905:-	fgenesh2_kg.1__64__AT1G01650.1	Bra033245.1-P	Bo5g001040.1	AT1G01650.1
AT1G01660	1:239841-242703:-	fgenesh1_pg.C_scaffold_1000054	Bra033244.1-P	Bo5g001050.1	AT1G01660.2
AT1G01670	1:242713-246054:-	NA	Bra033243.1-P	Bo5g001060.1	AT1G01670.1
AT1G01680	1:246262-248440:-	Al_scaffold_0001_58	Bra033242.1-P	Bo5g001070.1	AT1G01680.1
AT1G01690	1:249041-252522:+	NA	Bra033241.1-P	Bo5g001080.1	AT1G01690.1
AT1G01695	1:252626-254530:+	Al_scaffold_0001_57	NA	NA	AT1G01695.1
AT1G01710	1:262828-266324:+	fgenesh2_kg.1__58__AT1G01710.1	Bra033240.1-P	Bo5g001090.1	AT1G01710.1
AT1G01720	1:267993-269819:+	scaffold_100066.1	Bra033239.1-P	Bo5g001100.1	AT1G01720.1
AT1G01725	1:269792-270859:-	fgenesh2_kg.1__56__AT1G01725.1	Bra033238.1-P	Bo5g001120.1	AT1G01725.1
AT1G01730	1:270797-272189:+	fgenesh2_kg.1__55__AT1G01730.1	NA	NA	AT1G01730.1
AT1G01740	1:272111-274930:-	NA	Bra033237.1-P	Bo5g001130.1	AT1G01740.2
AT1G01750	1:275188-276310:+	scaffold_100061.1	Bra033236.1-P	NA	AT1G01750.2
AT1G01760	1:276266-278599:-	Al_scaffold_0001_50	Bra033235.1-P	NA	AT1G01760.3
AT1G01770	1:278600-282891:+	fgenesh2_kg.1__52__AT1G01770.1	NA	Bo8g118050.1	AT1G01770.1
AT1G01780	1:282761-284245:+	scaffold_100058.1	Bra033233.1-P	Bo5g001150.1,Bo8g118070.1	AT1G01780.1
AT1G01790	1:284350-291203:+	fgenesh1_pm.C_scaffold_1000043	Bra033231.1-P,Bra033232.1-P	Bo5g001180.1,Bo5g001160.1	AT1G01790.1
AT1G01800	1:293246-295086:+	scaffold_100056.1	Bra033230.1-P	NA	AT1G01800.1
AT1G01810	1:295207-295859:+	fgenesh2_kg.1__49__AT1G01810.1	NA	NA	AT1G01810.1
AT1G01820	1:296001-298334:-	fgenesh2_kg.1__48__AT1G01820.1	NA	NA	AT1G01820.1
AT1G01830	1:298451-302310:-	fgenesh2_kg.1__46__AT1G01830.3	Bra033229.1-P	Bo5g001190.1	AT1G01830.2
AT1G01840	1:303537-304358:+	scaffold_100051.1	NA	NA	AT1G01840.1
AT1G01860	1:304133-306310:-	fgenesh2_kg.1__44__AT1G01860.1	NA	NA	AT1G01860.4
AT1G01880	1:306467-309541:-	fgenesh1_pm.C_scaffold_1000036	NA	NA	AT1G01880.3
AT1G01900	1:310169-313130:+	Al_scaffold_0001_39	NA	NA	AT1G01900.1
AT1G01910	1:313101-316090:-	fgenesh2_kg.1__42__AT1G01910.4	Bra032654.1-P	Bo8g118130.1	AT1G01910.2
AT1G01920	1:315983-319667:+	fgenesh2_kg.1__37__AT1G01920.2	Bra032655.1-P	Bo8g118140.1	AT1G01920.1
AT1G01930	1:319769-322895:-	fgenesh2_kg.1__35__AT1G01930.1	Bra032656.1-P	Bo8g118150.1	AT1G01930.1
AT1G01940	1:322886-324917:+	fgenesh1_pg.C_scaffold_1000030	Bra032657.1-P	Bo8g118160.1	AT1G01940.1
AT1G01950	1:325316-330619:+	fgenesh2_kg.1__33__AT1G01950.1	Bra032658.1-P	Bo8g118170.1	AT1G01950.3
AT1G01960	1:330588-337912:-	fgenesh2_kg.1__32__AT1G01960.1	NA	NA	AT1G01960.1
AT1G01970	1:338241-340088:+	fgenesh2_kg.1__31__AT1G01970.1	NA	NA	AT1G01970.1
AT1G01980	1:340108-342040:-	fgenesh2_kg.1__30__AT1G01980.1	NA	NA	AT1G01980.1
AT1G01990	1:342918-344400:-	fgenesh2_kg.1__29__AT1G01990.1	NA	NA	AT1G01990.1
AT1G02000	1:345516-347603:+	scaffold_100037.1	NA	NA	AT1G02000.1
AT1G02010	1:347613-352545:+	fgenesh2_kg.1__28__AT1G02010.1	NA	NA	AT1G02010.4
AT1G02040	1:357906-359078:-	fgenesh1_pg.C_scaffold_1000018	NA	NA	AT1G02040.1
AT1G02050	1:359117-360746:-	fgenesh2_kg.1__25__AT1G02050.1	NA	NA	AT1G02050.1
AT1G02060	1:360918-363142:-	fgenesh1_pm.C_scaffold_1000020	NA	NA	AT1G02060.1
AT1G02065	1:365165-367443:+	NA	Bra032662.1-P	NA	AT1G02065.1
AT1G02080	1:373335-386913:+	NA	Bra032664.1-P	Bo8g118240.1	AT1G02080.1
AT1G02090	1:387277-389808:-	NA	Bra032666.1-P	Bo8g118260.1	AT1G02090.1
AT1G02100	1:389812-392816:+	scaffold_100016.1	Bra032667.1-P	Bo8g118270.1	AT1G02100.1
AT1G02110	1:392831-395528:+	fgenesh2_kg.1__13__AT1G02110.1	NA	NA	AT1G02110.1
AT1G02120	1:395689-400001:+	fgenesh2_kg.1__12__AT1G02120.1	NA	NA	AT1G02120.1
AT1G02140	1:403100-404456:-	scaffold_100009.1	Bra032668.1-P	Bo8g118290.1	AT1G02140.1
AT1G02145	1:404600-408619:+	scaffold_100008.1	NA	Bo5g001340.1	AT1G02145.3
AT1G02150	1:408622-410680:+	scaffold_100007.1	Bra033215.1-P	Bo5g001350.1	AT1G02150.1
AT1G02160	1:410744-411632:+	fgenesh2_kg.1__5__AT1G02160.2	Bra033214.1-P	Bo5g001360.1	AT1G02160.2
AT1G02170	1:411664-413554:+	Al_scaffold_0001_4	NA	NA	AT1G02170.1
AT1G02180	1:413522-414649:-	fgenesh2_kg.1__3__AT1G02180.1	NA	NA	AT1G02180.1
AT1G02190	1:415074-418027:+	fgenesh2_kg.1__2__AT1G02190.2	NA	NA	AT1G02190.1
AT1G02250	1:437860-439559:-	fgenesh1_pg.C_scaffold_1000123	NA	NA	AT1G02250.1
AT1G02260	1:440200-442972:-	fgenesh2_kg.1__141__AT1G02260.1	Bra032614.1-P	Bo8g117550.1	AT1G02260.2
AT1G02270	1:443118-446296:-	fgenesh2_kg.1__142__AT1G02270.1	Bra032613.1-P	Bo8g117540.1	AT1G02270.1
AT1G02280	1:448423-450426:-	fgenesh1_pm.C_scaffold_1000118	Bra033311.1-P	Bo5g002990.1	AT1G02280.1
AT1G02290	1:450461-452743:-	scaffold_100160.1	NA	NA	AT1G02290.1
AT1G02300	1:453107-455519:+	scaffold_100161.1	NA	NA	AT1G02300.1
AT1G02305	1:455688-458164:+	scaffold_100162.1	NA	NA	AT1G02305.1
AT1G02310	1:458133-460831:-	fgenesh2_kg.1__146__AT1G02310.1	Bra033312.1-P	Bo5g003010.1	AT1G02310.2
AT1G02330	1:461946-463618:-	scaffold_100164.1	NA	Bo5g003020.1	AT1G02330.1
AT1G02335	1:463754-464981:-	fgenesh2_kg.1__148__AT1G02335.1	Bra033314.1-P	Bo5g003030.1	AT1G02335.1
AT1G02340	1:465616-467880:-	fgenesh1_pg.C_scaffold_1000130	NA	NA	AT1G02340.1
AT1G02360	1:471883-473336:-	scaffold_100169.1	Bra033318.1-P	Bo5g003080.1	AT1G02360.3
AT1G02370	1:474373-476612:+	fgenesh2_kg.1__150__AT1G02370.1	Bra033321.1-P	NA	AT1G02370.1
AT1G02380	1:476945-479112:+	scaffold_100172.1	Bra033322.1-P	Bo5g003110.1	AT1G02380.1
AT1G02390	1:480650-483373:+	fgenesh2_kg.1__152__AT1G02390.1	Bra033323.1-P	Bo5g003130.1	AT1G02390.1
AT1G02400	1:486800-489651:+	Al_scaffold_0001_155	NA	Bo5g003140.1	AT1G02400.1
AT1G02405	1:489874-490627:-	fgenesh2_kg.1__154__AT1G02405.1	Bra032604.1-P	NA	AT1G02405.1
AT1G02410	1:490860-492979:+	scaffold_100176.1	Bra032603.1-P	Bo5g003150.1	AT1G02410.2
AT1G02420	1:493639-495158:+	fgenesh2_kg.1__156__AT1G02420.1	NA	NA	AT1G02420.1
AT1G02430	1:495050-496332:-	NA	Bra032602.1-P	NA	AT1G02430.1
AT1G02440	1:496372-497555:-	Al_scaffold_0001_159	Bra032602.1-P	NA	AT1G02440.1
AT1G02450	1:497917-498539:-	fgenesh2_kg.1__159__AT1G02450.1	Bra032601.1-P	Bo8g117450.1	AT1G02450.1
AT1G02460	1:504463-507268:-	scaffold_100180.1	Bra032600.1-P	Bo5g003190.1,Bo8g117430.1	AT1G02460.1
AT1G02470	1:511765-513721:-	fgenesh2_kg.1__161__AT1G02470.2	Bra033329.1-P	Bo5g003200.1	AT1G02470.1
AT1G02475	1:513699-515422:-	fgenesh1_pm.C_scaffold_1000137	Bra033330.1-P	NA	AT1G02475.1
AT1G02500	1:518091-520495:+	fgenesh2_kg.1__164__AT1G02500.1	NA	NA	AT1G02500.1
AT1G02520	1:523536-529069:+	fgenesh2_kg.1__167__AT1G02530.1	NA	NA	AT1G02520.1
AT1G02530	1:529679-534677:+	fgenesh2_kg.1__167__AT1G02530.1	NA	NA	AT1G02530.1
AT1G02550	1:536483-537211:+	scaffold_100187.1	NA	NA	AT1G02550.1
AT1G02560	1:537740-540127:+	scaffold_100188.1	Bra033332.1-P	Bo5g003220.1	AT1G02560.1
AT1G02570	1:541236-542245:+	NA	Bra033333.1-P	Bo5g003230.1	AT1G02570.1
AT1G02575	1:543011-544057:+	fgenesh1_pm.C_scaffold_1000142	Bra033333.1-P	Bo5g003230.1	AT1G02575.1
AT1G02580	1:544733-549202:+	fgenesh2_kg.1__172__AT1G02580.1	Bra033334.1-P	Bo5g003240.1	AT1G02580.1
AT1G02610	1:553019-556152:-	Al_scaffold_0001_173	Bra033335.1-P	Bo5g003250.1	AT1G02610.1
AT1G02620	1:557092-558774:+	scaffold_100193.1	NA	NA	AT1G02620.1
AT1G02630	1:560610-562598:-	fgenesh2_kg.1__175__AT1G02630.1	NA	Bo5g003280.1,Bo5g003270.1	AT1G02630.1
AT1G02640	1:564018-567771:+	fgenesh2_kg.1__176__AT1G02640.1	NA	NA	AT1G02640.1
AT1G02650	1:568558-570554:+	fgenesh2_kg.1__177__AT1G02650.1	NA	NA	AT1G02650.1
AT1G02660	1:571826-575085:-	scaffold_100199.1	NA	Bo8g001030.1	AT1G02660.1
AT1G02720	1:591682-594264:+	fgenesh2_kg.1__185__AT1G02720.1	NA	NA	AT1G02720.2
AT1G02730	1:594502-598657:-	scaffold_100210.1	Bra033344.1-P	NA	AT1G02730.1
AT1G02740	1:599330-602199:-	fgenesh2_kg.1__187__AT1G02740.1	Bra032588.1-P	Bo8g117340.1	AT1G02740.1
AT1G02750	1:602489-604387:+	fgenesh2_kg.1__188__AT1G02750.1	Bra032587.1-P,Bra033345.1-P	Bo8g117330.1,Bo5g003360.1	AT1G02750.1
AT1G02780	1:607799-609534:-	fgenesh2_kg.1__189__AT1G02780.1	Bra032586.1-P,Bra033346.1-P	Bo5g003370.1,Bo8g117320.1	AT1G02780.1
AT1G02790	1:610363-612324:-	scaffold_100214.1	Bra033347.1-P,Bra032585.1-P	Bo5g003380.1,Bo8g117310.1	AT1G02790.1
AT1G02800	1:613197-616231:-	scaffold_100215.1	Bra032584.1-P	Bo8g117290.1	AT1G02800.1
AT1G02810	1:618061-620502:+	fgenesh1_pg.C_scaffold_1000172	Bra033348.1-P	Bo5g003390.1	AT1G02810.1
AT1G02813	1:620678-621329:+	fgenesh2_kg.1__193__AT1G02813.1	NA	NA	AT1G02813.1
AT1G02816	1:621453-623054:+	fgenesh2_kg.1__194__AT1G02816.1	Bra033349.1-P	NA	AT1G02816.1
AT1G02820	1:623656-624567:-	scaffold_100219.1	Bra033350.1-P	NA	AT1G02820.1
AT1G02830	1:625084-625608:-	fgenesh2_kg.1__195__AT1G02830.1	Bra033351.1-P	Bo5g003410.1	AT1G02830.1
AT1G02850	1:630374-633420:+	Al_scaffold_0001_200	Bra033352.1-P	Bo5g003420.1	AT1G02850.4
AT1G02860	1:635144-637262:+	fgenesh2_kg.1__205__AT1G02860.1	Bra033353.1-P	Bo5g003430.1	AT1G02860.1
AT1G02870	1:637214-638681:-	fgenesh2_kg.1__206__AT1G02870.1	Bra033354.1-P	Bo5g003440.1	AT1G02870.1
AT1G02880	1:642505-644903:-	fgenesh2_kg.1__210__AT1G02880.2	NA	NA	AT1G02880.6
AT1G02890	1:645084-652001:-	fgenesh2_kg.1__213__AT1G02890.1	Bra033356.1-P	Bo5g003490.1	AT1G02890.1
AT1G02900	1:653604-654457:-	fgenesh2_kg.1__215__AT1G02900.1	Bra033357.1-P,Bra030513.1-P	Bo8g001200.1	AT1G02900.1
AT1G02910	1:655568-658216:-	scaffold_100233.1	NA	Bo8g001210.1	AT1G02910.1
AT1G02920	1:658578-659980:-	fgenesh2_kg.1__217__AT1G02920.1	NA	NA	AT1G02920.1
AT1G02930	1:661088-662475:-	fgenesh2_kg.1__218__AT1G02930.1	NA	NA	AT1G02930.1
AT1G02940	1:662963-664290:-	fgenesh1_pg.C_scaffold_1000186	NA	NA	AT1G02940.2
AT1G02950	1:665119-666471:-	fgenesh2_kg.1__222__AT1G02950.2	NA	NA	AT1G02950.5
AT1G02960	1:666807-669919:-	fgenesh2_kg.1__225__AT1G02960.2	NA	NA	AT1G02960.2
AT1G02970	1:673306-676419:+	scaffold_100240.1	NA	Bo8g117240.1	AT1G02970.1
AT1G02990	1:681331-687385:-	Al_scaffold_0001_215	NA	NA	AT1G02990.4
AT1G03000	1:687795-692660:-	fgenesh2_kg.1__231__AT1G03000.1	Bra033364.1-P	Bo8g117210.1,Bo5g003550.1	AT1G03000.1
AT1G03010	1:693190-696504:+	fgenesh1_pm.C_scaffold_1000181	Bra033365.1-P	Bo5g003560.1	AT1G03010.1
AT1G03020	1:697919-698591:-	scaffold_100246.1	Bra032563.1-P,Bra033366.1-P	Bo5g003570.1	AT1G03020.1
AT1G03030	1:701365-703929:+	fgenesh2_kg.1__234__AT1G03030.1	Bra033367.1-P	NA	AT1G03030.1
AT1G03040	1:703847-706689:-	fgenesh2_kg.1__235__AT1G03040.1	Bra033368.1-P	Bo5g003580.1	AT1G03040.3
AT1G03050	1:707485-710041:+	fgenesh2_kg.1__236__AT1G03050.1	Bra033369.1-P	Bo5g003590.1	AT1G03050.1
AT1G03055	1:710018-711857:-	fgenesh2_kg.1__237__AT1G03055.1	NA	Bo8g117140.1	AT1G03055.1
AT1G03060	1:712440-727553:-	fgenesh1_pm.C_scaffold_1000187	NA	Bo5g003600.1,Bo8g117130.1	AT1G03060.1
AT1G03070	1:729830-731565:+	fgenesh2_kg.1__240__AT1G03070.1	NA	NA	AT1G03070.3
AT1G03080	1:731554-738306:-	fgenesh2_kg.1__241__AT1G03080.1	NA	Bo8g117120.1,Bo5g003610.1	AT1G03080.1
AT1G03090	1:739544-744184:+	fgenesh2_kg.1__243__AT1G03090.2	NA	Bo8g116120.1	AT1G03090.2
AT1G03100	1:743885-746701:-	NA	NA	Bo5g003620.1	AT1G03100.1
AT1G03103	1:747197-748057:+	fgenesh1_pm.C_scaffold_1000192	NA	NA	AT1G03103.1
AT1G03110	1:749246-751976:+	scaffold_100257.1	NA	NA	AT1G03110.1
AT1G03120	1:752191-753140:+	Al_scaffold_0001_230	NA	NA	AT1G03120.1
AT1G03130	1:753307-754262:-	scaffold_100259.1	NA	NA	AT1G03130.1
AT1G03140	1:754261-756303:-	scaffold_100260.1	NA	NA	AT1G03140.1
AT1G03150	1:756414-758678:+	scaffold_100261.1	Bra030521.1-P	NA	AT1G03150.1
AT1G03160	1:761261-766194:+	fgenesh2_kg.1__249__AT1G03160.1	Bra030522.1-P	NA	AT1G03160.1
AT1G03170	1:768376-770684:+	scaffold_100263.1	Bra030523.1-P	NA	AT1G03170.1
AT1G03180	1:773358-775362:+	fgenesh2_kg.1__251__AT1G03180.1	NA	Bo8g001310.1	AT1G03180.1
AT1G03190	1:775527-780062:+	fgenesh2_kg.1__253__AT1G03190.1	NA	NA	AT1G03190.2
AT1G03210	1:782904-784346:+	fgenesh1_pm.C_scaffold_1000202	NA	NA	AT1G03210.2
AT1G03220	1:786832-788722:+	fgenesh2_kg.1__256__AT1G03230.1	NA	NA	AT1G03220.1
AT1G03250	1:793315-795403:-	fgenesh2_kg.1__257__AT1G03250.1	NA	NA	AT1G03250.2
AT1G03260	1:795449-798491:-	scaffold_100272.1	NA	NA	AT1G03260.1
AT1G03270	1:799115-802625:+	fgenesh1_pm.C_scaffold_1000207	NA	NA	AT1G03270.1
AT1G03280	1:802970-807066:+	scaffold_100275.1	NA	NA	AT1G03280.2
AT1G03290	1:807361-813216:+	fgenesh2_kg.1__261__AT1G03290.1	NA	NA	AT1G03290.2
AT1G03300	1:811033-813086:-	fgenesh1_pm.C_scaffold_1000211	NA	NA	AT1G03300.1
AT1G03310	1:813413-816812:+	fgenesh2_kg.1__262__AT1G03310.2	NA	Bo5g003740.1	AT1G03310.2
AT1G03320	1:816989-817767:+	fgenesh2_kg.1__264__AT1G03320.1	Bra033389.1-P	Bo5g003750.1	AT1G03320.1
AT1G03330	1:817934-819563:-	fgenesh2_kg.1__265__AT1G03330.1	NA	Bo5g003760.1	AT1G03330.1
AT1G03340	1:819612-821476:+	scaffold_100282.1	Bra033390.1-P	Bo5g003770.1	AT1G03340.1
AT1G03350	1:822582-824410:-	fgenesh2_kg.1__267__AT1G03350.1	Bra033391.1-P	Bo5g003780.1	AT1G03350.1
AT1G03360	1:824517-826399:+	fgenesh2_kg.1__268__AT1G03360.1	Bra033392.1-P	Bo5g003790.1	AT1G03360.1
AT1G03365	1:826523-830393:+	NA	NA	Bo5g003800.1	AT1G03365.2
AT1G03370	1:830550-835411:+	scaffold_100286.1	NA	NA	AT1G03370.1
AT1G03380	1:835767-841373:+	fgenesh1_pg.C_scaffold_1000229	Bra033394.1-P	Bo5g003810.1	AT1G03380.1
AT1G03390	1:841033-842418:-	scaffold_100288.1	Bra033395.1-P	Bo5g003820.1	AT1G03390.1
AT1G03400	1:842659-844251:-	NA	Bra033397.1-P,Bra033396.1-P	Bo5g003830.1	AT1G03400.2
AT1G03410	1:844436-847683:-	NA	NA	Bo5g003850.1	AT1G03410.1
AT1G03430	1:847793-849621:+	scaffold_100289.1	Bra033398.1-P	Bo5g003860.1	AT1G03430.2
AT1G03440	1:852151-854297:+	fgenesh2_kg.1__272__AT1G03440.1	NA	Bo5g003870.1	AT1G03440.1
AT1G03445	1:854410-859701:-	fgenesh2_kg.1__273__AT1G03445.1	NA	NA	AT1G03445.1
AT1G03457	1:860761-864372:-	fgenesh2_kg.1__275__AT1G03457.2	Bra033400.1-P	Bo5g003880.1	AT1G03457.2
AT1G03470	1:865895-867733:-	fgenesh2_kg.1__277__AT1G03470.1	NA	Bo5g003890.1	AT1G03470.1
AT1G03475	1:868853-871308:-	scaffold_100294.1	Bra033402.1-P	NA	AT1G03475.1
AT1G03490	1:871874-872906:+	fgenesh1_pm.C_scaffold_1000227	NA	NA	AT1G03490.1
