source:Oryza/oryzasativa_Oryza_algEnsemblCompara_nosingles	oryza_sativa	oryza_indica	oryza_brachyantha	oryza_meridionalis	oryza_glaberrima	oryza_punctata	oryza_longistaminata	oryza_barthii	oryza_nivara	oryza_rufipogon	oryza_glumipatula	
Os01t0105800-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0105900-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0106200-01.faa	1	1	0	0	1	1	1	1	1	1	2	
Os01t0106300-01.faa	1	1	1	0	1	1	1	1	1	1	2	
Os01t0106400-01.faa	1	1	2	0	1	1	1	1	1	1	1	
Os01t0106500-01.faa	1	1	0	0	1	1	1	1	1	1	1	
Os01t0106600-01.faa	1	1	1	0	1	0	3	1	1	1	1	
Os01t0106700-00.faa	1	1	1	0	1	1	0	0	0	1	0	
Os01t0106800-01.faa	1	0	1	0	2	1	0	1	1	1	1	
Os01t0106900-01.faa	1	1	1	0	2	1	1	1	1	1	1	
Os01t0107000-02.faa	1	1	1	0	2	1	1	1	1	1	1	
Os01t0107700-01.faa	1	1	1	1	2	1	1	1	1	1	1	
Os01t0107900-01.faa	1	1	1	1	2	1	1	1	1	1	1	
Os01t0108000-01.faa	1	1	1	0	0	1	1	1	0	1	1	
Os01t0108200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0108400-00.faa	1	2	0	1	2	1	1	1	0	0	1	
Os01t0108500-00.faa	1	0	0	1	0	0	0	3	3	3	0	
Os01t0108600-02.faa	1	2	0	0	1	0	0	1	1	0	1	
Os01t0108700-01.faa	1	0	0	0	1	0	0	0	0	0	0	
Os01t0108800-01.faa	1	1	0	1	2	1	1	1	1	1	1	
Os01t0109300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0109500-01.faa	1	1	0	0	1	0	1	1	0	1	0	
Os01t0109700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0109750-01.faa	1	1	0	1	1	1	1	1	1	1	1	
Os01t0110100-01.faa	1	2	1	1	1	1	1	1	1	1	1	
Os01t0110200-01.faa	1	1	1	0	0	1	0	0	1	1	0	
Os01t0110400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0110500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0110600-00.faa	1	1	0	0	0	0	1	0	0	0	0	
Os01t0110700-01.faa	1	1	1	1	1	1	2	1	1	1	1	
Os01t0110800-01.faa	1	0	0	0	0	0	1	0	1	0	0	
Os01t0111000-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0111100-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0111200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0111400-01.faa	1	1	1	0	1	0	1	0	0	0	0	
Os01t0111500-01.faa	1	2	1	1	1	1	1	1	1	1	1	
Os01t0111600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0111700-01.faa	1	1	1	2	1	1	1	1	1	1	1	
Os01t0111800-02.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0111900-01.faa	1	1	1	1	1	1	0	0	1	1	1	
Os01t0112000-01.faa	1	1	1	1	1	1	0	0	1	1	1	
Os01t0112100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0112400-01.faa	1	2	1	1	1	1	1	1	1	1	1	
Os01t0112500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0112600-01.faa	1	0	0	0	1	0	0	0	0	0	0	
Os01t0112800-00.faa	1	1	1	1	1	0	1	1	1	1	1	
Os01t0113000-00.faa	1	2	0	0	0	0	0	0	0	0	0	
Os01t0113150-00.faa	1	1	0	0	0	0	0	0	0	0	0	
Os01t0113300-01.faa	1	0	1	0	1	1	1	1	1	1	2	
Os01t0113350-00.faa	1	1	1	0	1	1	1	0	0	0	0	
Os01t0113400-01.faa	1	0	0	0	1	1	2	1	1	1	1	
Os01t0113500-01.faa	1	0	0	1	0	0	1	0	0	0	1	
Os01t0113600-02.faa	1	0	0	0	1	0	0	0	0	0	0	
Os01t0113650-00.faa	1	1	1	1	0	1	2	1	1	1	0	
Os01t0113700-00.faa	1	0	0	0	1	1	2	0	1	1	1	
Os01t0113800-01.faa	1	0	0	1	1	1	1	0	0	0	1	
Os01t0113900-01.faa	1	5	0	0	0	0	0	0	1	0	1	
Os01t0114100-01.faa	1	1	1	0	0	0	1	1	1	1	0	
Os01t0114400-00.faa	1	0	1	0	0	0	2	0	1	1	2	
Os01t0114600-00.faa	1	0	1	0	0	0	0	0	1	0	0	
Os01t0114700-00.faa	1	0	1	1	0	1	1	0	2	0	0	
Os01t0114800-01.faa	1	0	0	0	0	0	0	1	0	1	1	
Os01t0114900-00.faa	1	0	1	1	0	1	2	1	1	1	2	
Os01t0115100-01.faa	1	0	0	0	0	0	0	1	1	0	0	
Os01t0115200-00.faa	1	0	1	2	0	0	2	0	1	0	1	
Os01t0115500-00.faa	1	0	0	1	0	0	1	0	1	2	1	
Os01t0115566-00.faa	1	2	0	0	0	0	0	0	0	0	0	
Os01t0115600-01.faa	1	0	1	2	2	1	4	1	3	1	2	
Os01t0115700-00.faa	1	0	0	1	0	0	1	1	1	0	1	
Os01t0115725-00.faa	1	0	0	1	0	0	0	0	0	0	0	
Os01t0115750-00.faa	1	0	0	0	0	0	1	0	1	0	1	
Os01t0115800-01.faa	1	0	0	0	1	0	0	0	0	0	0	
Os01t0115900-00.faa	1	1	0	0	0	0	0	0	1	1	0	
Os01t0116000-00.faa	1	0	0	0	0	0	0	0	1	0	1	
Os01t0116200-01.faa	1	0	0	0	0	0	0	1	2	0	0	
Os01t0116300-01.faa	1	2	0	0	0	1	0	0	0	1	1	
Os01t0116400-01.faa	1	1	0	1	0	0	1	0	0	2	1	
Os01t0116900-00.faa	1	0	1	0	1	0	6	1	1	1	0	
Os01t0116600-01.faa	1	1	1	1	1	1	2	1	1	0	1	
Os01t0116800-00.faa	1	0	1	1	1	0	4	0	1	0	0	
Os01t0117000-00.faa	1	0	0	0	0	0	1	0	0	0	0	
Os01t0117100-00.faa	1	0	0	0	0	1	1	0	1	0	0	
Os01t0117200-01.faa	1	0	0	0	0	0	1	1	1	0	0	
Os01t0117266-00.faa	1	0	0	0	0	0	1	0	0	0	0	
Os01t0117300-00.faa	1	0	0	0	0	0	1	1	1	0	0	
Os01t0117400-00.faa	1	1	0	1	0	1	1	1	1	0	1	
Os01t0117500-00.faa	1	0	0	0	0	0	1	0	0	1	0	
Os01t0117600-01.faa	1	0	0	1	1	0	1	1	0	1	0	
Os01t0117700-00.faa	1	0	0	0	1	0	1	1	1	0	1	
Os01t0117900-02.faa	1	1	1	1	1	1	2	1	1	1	1	
Os01t0118000-01.faa	1	0	1	0	1	1	2	1	1	1	1	
Os01t0118100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0118300-02.faa	1	1	1	1	1	2	1	1	1	1	1	
Os01t0118400-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0118600-00.faa	1	1	1	1	1	1	1	0	0	1	1	
Os01t0118700-01.faa	3	3	2	1	3	1	1	1	1	1	1	
Os01t0119500-01.faa	1	1	0	1	1	0	0	1	1	1	1	
Os01t0120300-00.faa	1	1	1	2	1	1	1	1	1	1	1	
Os01t0120400-02.faa	1	1	1	2	1	1	0	1	1	1	1	
Os01t0120500-01.faa	1	1	0	0	1	1	0	1	1	1	1	
Os01t0120600-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0120700-01.faa	1	2	1	1	1	1	2	1	1	1	0	
Os01t0120800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0121000-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0121100-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0121200-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0121300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0121500-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0121600-01.faa	1	1	1	0	0	1	0	1	1	1	1	
Os01t0121700-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0121800-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0121900-00.faa	1	1	1	0	0	0	1	0	0	0	1	
Os01t0121950-00.faa	1	0	0	1	0	0	0	1	0	1	0	
Os01t0122200-01.faa	1	1	1	0	0	0	0	0	1	1	1	
Os01t0122701-00.faa	1	0	1	0	0	0	0	0	0	1	1	
Os01t0123700-00.faa	1	1	1	0	0	1	3	0	1	0	0	
Os01t0123800-00.faa	1	1	0	1	1	1	0	0	2	1	1	
Os01t0123900-01.faa	1	1	1	1	1	3	1	2	2	1	1	
Os01t0124000-01.faa	1	1	1	1	0	1	1	1	0	0	1	
Os01t0124100-01.faa	1	1	2	1	1	1	1	1	1	0	1	
Os01t0124200-02.faa	1	1	0	0	1	1	1	1	0	0	1	
Os01t0124401-01.faa	1	1	0	1	1	0	0	1	1	0	0	
Os01t0124600-00.faa	1	1	0	0	1	1	1	1	1	0	1	
Os01t0124650-02.faa	1	1	0	1	1	0	1	1	0	0	1	
Os01t0124700-01.faa	1	0	1	1	0	0	0	0	0	0	0	
Os01t0124900-00.faa	1	1	0	1	1	2	1	0	1	2	1	
Os01t0125000-00.faa	1	1	0	1	1	0	1	0	0	1	1	
Os01t0125500-00.faa	1	1	0	1	1	0	0	1	1	1	1	
Os01t0125550-01.faa	1	1	0	1	1	1	0	1	1	1	1	
Os01t0125600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0125700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0125800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0125900-01.faa	1	1	1	1	1	1	1	1	1	1	2	
Os01t0126000-01.faa	1	0	0	0	0	0	0	1	0	0	1	
Os01t0126100-01.faa	1	1	1	1	1	0	1	1	1	1	1	
Os01t0126200-01.faa	1	1	1	0	1	0	1	1	1	1	1	
Os01t0126600-01.faa	1	1	1	1	1	1	4	1	1	1	0	
Os01t0126900-01.faa	1	1	0	0	1	0	1	0	1	1	1	
Os01t0127000-01.faa	1	1	2	1	1	1	2	1	1	0	1	
Os01t0127100-01.faa	1	0	1	1	0	0	0	0	0	0	0	
Os01t0127200-01.faa	1	1	0	1	1	1	0	0	0	1	1	
Os01t0127300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0127400-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0127500-01.faa	1	1	1	0	1	1	1	1	0	1	1	
Os01t0127600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0127900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0128000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0128100-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0128200-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0128300-00.faa	1	1	1	0	0	1	1	1	1	1	1	
Os01t0128400-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0128800-01.faa	1	1	1	1	0	1	3	1	1	1	1	
Os01t0129200-01.faa	1	1	1	1	0	1	0	1	1	1	1	
Os01t0129500-02.faa	1	1	1	1	0	1	0	1	1	1	1	
Os01t0129800-01.faa	1	1	0	1	1	0	0	1	0	1	1	
Os01t0130000-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0130200-00.faa	1	1	0	1	1	1	0	0	1	1	1	
Os01t0130400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0130900-01.faa	1	1	0	1	1	1	0	1	1	1	1	
Os01t0131300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0131600-02.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0131450-00.faa	1	0	1	0	0	0	0	0	0	0	0	
Os01t0131800-01.faa	1	1	1	1	1	0	1	1	0	1	1	
Os01t0131900-00.faa	1	1	0	1	1	1	0	1	0	0	1	
Os01t0132000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0132100-00.faa	1	0	0	1	0	1	1	0	1	1	1	
Os01t0132200-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0132400-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0132500-01.faa	1	1	1	1	0	1	0	0	0	0	0	
Os01t0132700-01.faa	1	1	1	1	0	1	1	1	1	1	1	
Os01t0132766-01.faa	1	1	0	1	1	1	0	0	1	1	1	
Os01t0132800-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0133100-02.faa	1	1	0	1	1	1	1	1	1	1	1	
Os01t0133200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0133400-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0133500-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0133600-00.faa	1	1	1	1	1	0	1	0	1	0	1	
Os01t0133700-00.faa	1	1	0	0	1	1	1	1	1	0	0	
Os01t0133900-00.faa	1	1	1	2	1	1	1	2	2	1	2	
Os01t0134200-02.faa	1	0	0	0	0	0	1	0	0	0	1	
Os01t0134500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0134700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0134800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0134900-01.faa	1	1	1	0	1	0	1	0	0	0	0	
Os01t0135000-01.faa	1	0	1	0	0	0	0	0	0	0	0	
Os01t0135700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0135800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0135900-02.faa	1	1	1	2	1	1	1	1	1	1	1	
Os01t0136000-00.faa	1	1	0	0	1	0	1	1	1	1	1	
Os01t0136100-01.faa	1	1	1	0	1	2	1	1	0	1	1	
Os01t0136200-01.faa	1	1	0	0	1	0	0	1	1	1	0	
Os01t0136300-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0136400-01.faa	1	0	0	0	0	1	0	0	0	0	1	
Os01t0136450-00.faa	2	2	1	0	0	0	3	0	0	0	1	
Os01t0136500-00.faa	1	1	0	0	1	1	2	0	0	1	1	
Os01t0136600-01.faa	2	0	0	1	0	0	0	0	0	0	0	
Os01t0136700-01.faa	2	3	0	0	0	0	3	0	0	0	0	
Os01t0136800-01.faa	1	1	1	1	0	1	1	1	0	1	1	
Os01t0136900-00.faa	1	0	0	0	0	0	1	0	0	0	0	
Os01t0137400-00.faa	1	0	1	0	0	1	1	1	1	1	1	
Os01t0137250-00.faa	2	0	2	0	0	0	1	0	0	0	1	
Os01t0137282-00.faa	1	1	0	1	0	0	0	0	0	0	0	
Os01t0137300-01.faa	1	0	1	0	0	0	0	0	0	0	0	
Os01t0137550-01.faa	1	0	0	0	0	0	0	0	1	0	0	
Os01t0137950-01.faa	1	0	1	0	1	0	1	1	0	0	0	
Os01t0138300-02.faa	1	1	0	1	0	0	0	0	0	0	0	
Os01t0138400-01.faa	1	1	1	1	1	1	1	1	0	0	1	
Os01t0138500-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0138600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0138800-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0138900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0139000-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0139200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0139600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0139700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0139900-01.faa	1	1	0	1	1	1	1	1	1	1	1	
Os01t0140100-01.faa	1	2	1	1	1	1	0	1	1	1	1	
Os01t0140400-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0140700-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0141000-01.faa	1	2	1	1	1	1	0	1	1	1	1	
Os01t0141100-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0141300-00.faa	1	1	0	0	1	1	0	0	0	0	0	
Os01t0141600-01.faa	1	1	1	1	1	1	1	1	1	1	2	
Os01t0141700-01.faa	1	1	1	1	1	1	1	1	1	1	2	
Os01t0141900-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0142100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0142200-01.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0142300-03.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0142500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0143100-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0143300-01.faa	1	1	1	1	1	1	1	1	1	1	0	
Os01t0143400-00.faa	1	1	2	1	1	0	1	1	1	1	1	
Os01t0143700-00.faa	1	1	0	1	0	1	1	0	0	1	0	
Os01t0143800-01.faa	1	1	1	1	1	0	1	1	1	1	1	
Os01t0143900-01.faa	1	1	1	1	1	0	0	0	0	0	1	
Os01t0144000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0144100-01.faa	1	1	1	1	1	1	1	0	0	0	0	
Os01t0144200-01.faa	1	1	1	1	1	0	2	1	1	1	1	
Os01t0144300-01.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0144340-00.faa	1	0	1	0	1	1	1	1	1	1	1	
Os01t0144380-01.faa	1	0	0	1	0	1	0	0	0	0	0	
Os01t0144500-00.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0144600-01.faa	1	1	1	1	1	0	0	0	1	1	1	
Os01t0144700-01.faa	1	1	1	1	1	1	0	0	0	1	1	
Os01t0144800-01.faa	1	1	1	1	1	2	1	2	0	1	2	
Os01t0145000-00.faa	1	1	5	0	1	2	1	0	1	0	1	
Os01t0145200-01.faa	1	1	0	1	1	0	1	1	0	0	1	
Os01t0146200-01.faa	1	1	0	1	1	1	2	1	1	1	1	
Os01t0146600-01.faa	1	1	0	0	0	0	0	0	0	0	0	
Os01t0146801-00.faa	2	0	0	0	0	0	0	0	0	1	0	
Os01t0147001-00.faa	1	0	0	0	0	0	0	0	0	1	0	
Os01t0147200-01.faa	1	1	1	1	1	1	1	1	0	1	1	
Os01t0147250-01.faa	1	0	1	0	0	0	0	0	0	0	0	
Os01t0147300-01.faa	1	2	1	1	1	1	1	1	1	1	1	
Os01t0147400-00.faa	1	2	1	1	1	1	1	1	0	1	1	
Os01t0147700-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0147800-01.faa	1	1	1	1	1	1	0	0	1	1	1	
Os01t0147850-00.faa	1	0	0	0	0	0	0	1	0	0	1	
Os01t0147900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0148000-00.faa	2	1	1	1	1	1	1	1	1	1	1	
Os01t0148100-01.faa	1	1	0	1	1	0	0	1	1	1	1	
Os01t0148200-01.faa	1	0	0	0	1	0	0	0	0	0	0	
Os01t0148400-01.faa	1	1	0	1	0	0	0	1	1	1	0	
Os01t0148500-01.faa	1	1	0	1	1	0	0	1	1	1	1	
Os01t0148700-01.faa	1	1	0	1	1	0	0	1	1	1	1	
Os01t0149350-00.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0149500-01.faa	1	1	0	1	0	0	1	0	1	0	0	
Os01t0149600-01.faa	1	1	0	1	1	2	0	2	2	0	1	
Os01t0149700-00.faa	1	1	0	1	0	1	1	2	1	1	1	
Os01t0149750-00.faa	2	0	0	0	0	0	0	2	2	0	0	
Os01t0149800-01.faa	1	1	1	1	1	1	1	0	1	1	1	
Os01t0149900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0150000-02.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0150100-01.faa	1	1	1	1	1	1	1	1	1	1	0	
Os01t0150200-01.faa	1	1	1	0	2	1	1	1	1	0	1	
Os01t0150400-00.faa	1	1	1	1	2	0	1	1	1	2	2	
Os01t0150500-00.faa	1	0	0	0	1	0	1	1	1	0	1	
Os01t0150800-01.faa	1	2	0	0	1	1	0	1	0	1	0	
Os01t0150950-00.faa	1	1	0	0	1	0	0	0	0	1	1	
Os01t0151100-01.faa	1	1	1	1	1	1	1	0	1	1	1	
Os01t0151200-01.faa	1	1	1	0	1	1	0	1	1	1	1	
Os01t0151400-01.faa	1	0	0	0	0	0	1	0	0	0	0	
Os01t0151500-00.faa	1	1	1	1	1	1	2	1	1	1	1	
Os01t0151600-01.faa	1	1	1	1	1	0	1	1	0	1	1	
Os01t0151700-01.faa	1	2	1	1	1	1	2	1	1	1	1	
Os01t0151900-01.faa	1	1	1	0	1	1	3	1	1	1	1	
Os01t0152000-01.faa	1	2	1	0	1	1	3	0	1	1	1	
Os01t0152100-00.faa	1	1	0	1	1	1	0	1	1	1	1	
Os01t0152200-00.faa	1	1	0	1	0	0	1	1	1	1	1	
Os01t0152300-00.faa	1	1	0	0	0	0	0	0	0	1	0	
Os01t0152500-00.faa	1	0	0	0	0	2	0	0	0	0	0	
Os01t0152600-00.faa	1	1	1	0	0	0	1	0	1	1	1	
Os01t0152687-00.faa	1	2	0	1	1	0	4	0	0	1	0	
Os01t0152700-01.faa	1	0	1	1	0	1	0	0	0	1	0	
Os01t0152800-01.faa	1	1	1	0	1	1	2	0	1	1	1	
Os01t0152850-00.faa	1	0	0	0	0	1	1	0	1	0	0	
Os01t0152900-00.faa	1	1	0	1	1	1	0	1	1	1	0	
Os01t0152950-00.faa	1	1	0	1	1	1	2	1	1	1	1	
Os01t0152951-00.faa	1	0	0	0	0	0	0	0	0	0	1	
Os01t0153000-00.faa	1	1	0	1	1	1	1	1	0	1	1	
Os01t0153100-00.faa	1	1	1	1	2	0	0	1	0	0	0	
Os01t0153200-00.faa	1	0	0	1	0	1	0	0	1	0	0	
Os01t0153250-00.faa	1	1	1	0	1	1	1	1	1	1	1	
Os01t0153300-00.faa	1	1	0	0	1	0	0	1	1	0	1	
Os01t0153400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0153500-00.faa	1	0	0	1	0	0	1	0	0	1	1	
Os01t0153600-00.faa	1	1	1	2	1	1	1	0	1	1	0	
Os01t0153700-01.faa	2	1	0	0	1	0	0	0	0	0	0	
Os01t0153800-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0153900-00.faa	1	1	1	1	1	0	1	1	1	0	0	
Os01t0153950-00.faa	1	1	1	1	1	1	0	1	0	1	2	
Os01t0154100-00.faa	1	1	0	0	1	0	0	0	0	0	0	
Os01t0154200-00.faa	1	1	1	0	1	0	0	1	1	1	0	
Os01t0154500-01.faa	1	1	0	0	1	0	1	0	0	0	0	
Os01t0154600-01.faa	1	1	1	1	1	0	1	1	1	1	1	
Os01t0155000-02.faa	1	1	0	1	1	1	0	1	1	1	1	
Os01t0155200-00.faa	1	0	0	1	1	1	1	1	1	1	1	
Os01t0155300-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0155400-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0155500-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0155600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0155800-01.faa	1	1	1	1	1	0	1	0	0	1	0	
Os01t0156000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0156300-01.faa	1	1	0	1	1	1	1	1	1	0	0	
Os01t0157200-01.faa	1	1	0	0	1	1	1	0	0	0	1	
Os01t0157400-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0157500-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0157600-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0157700-00.faa	1	1	1	1	0	1	0	1	1	1	1	
Os01t0157800-01.faa	1	1	0	0	1	1	0	1	1	1	1	
Os01t0157900-01.faa	1	1	1	0	1	1	0	1	1	1	1	
Os01t0158000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0158100-01.faa	1	1	1	0	2	1	0	1	0	1	1	
Os01t0158200-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0158400-01.faa	1	1	2	1	1	1	1	1	1	1	1	
Os01t0158500-01.faa	1	0	0	0	0	0	2	0	1	1	1	
Os01t0158566-00.faa	1	0	0	0	0	0	0	0	0	0	1	
Os01t0158600-01.faa	1	0	0	0	1	0	2	1	1	1	1	
Os01t0158800-00.faa	1	1	1	1	1	1	0	1	1	1	1	
Os01t0158900-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0159000-01.faa	1	1	1	1	1	1	1	1	1	1	1	
Os01t0159200-01.faa	1	1	0	1	0	1	1	1	0	1	1	
