source:Brassicaceae/arabidopsisthaliana_Brassicaceae_algEnsemblCompara	arabidopsis_thaliana	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	brassica_napus	arabidopsis_halleri	
ATCG01110.1.faa	1	1	0	1	7	0	
ATCG01120.1.faa	1	1	0	0	0	0	
ATCG01240.1.faa	1	1	0	0	0	0	
ATCG01250.1.faa	1	1	0	0	0	0	
ATCG01270.1.faa	1	2	0	0	0	0	
ATCG01280.1.faa	1	0	0	1	0	0	
ATCG01300.1.faa	1	1	0	0	0	0	
AT5G01010.2.faa	1	1	2	2	2	1	
AT5G01015.1.faa	1	0	0	0	0	1	
AT5G01020.1.faa	1	1	1	1	2	1	
AT5G01030.3.faa	1	1	2	2	4	1	
AT5G01040.1.faa	1	1	2	4	4	2	
AT5G01050.1.faa	1	0	1	3	3	0	
AT5G01060.1.faa	1	1	2	2	3	1	
AT5G01070.1.faa	1	1	1	1	2	1	
AT5G01075.1.faa	1	1	2	2	4	1	
AT5G01090.1.faa	1	1	2	3	4	1	
AT5G01100.1.faa	1	1	2	2	4	1	
AT5G01110.2.faa	1	1	1	2	2	1	
AT5G01120.1.faa	1	1	1	0	2	1	
AT5G01130.1.faa	1	0	1	1	3	0	
AT5G01140.1.faa	1	1	1	0	1	0	
AT5G01150.1.faa	1	1	1	1	2	0	
AT5G01160.2.faa	1	1	1	1	2	1	
AT5G01170.1.faa	1	1	1	1	2	1	
AT5G01180.1.faa	1	1	1	1	2	1	
AT5G01190.1.faa	1	1	1	1	2	0	
AT5G01200.1.faa	1	1	1	1	2	1	
AT5G01210.1.faa	1	1	2	1	3	1	
AT5G01220.1.faa	1	1	2	2	6	1	
AT5G01225.1.faa	1	1	1	1	2	1	
AT5G01230.1.faa	1	1	2	2	5	1	
AT5G01240.1.faa	1	1	1	1	2	1	
AT5G01250.1.faa	1	1	1	1	2	1	
AT5G01260.2.faa	1	1	1	1	2	1	
AT5G01270.2.faa	1	1	1	1	2	2	
AT5G01280.1.faa	1	0	1	1	2	1	
AT5G01290.1.faa	1	1	1	1	2	1	
AT5G01300.1.faa	1	1	1	1	2	1	
AT5G01305.1.faa	1	0	1	1	2	1	
AT5G01310.1.faa	1	1	1	1	2	1	
AT5G01320.1.faa	1	1	1	2	3	1	
AT5G01330.1.faa	1	1	0	0	0	0	
AT5G01340.1.faa	1	1	1	1	2	1	
AT5G01350.1.faa	1	1	0	1	1	1	
AT5G01360.1.faa	1	1	2	2	3	1	
AT5G01370.1.faa	1	1	1	1	1	1	
AT5G01380.1.faa	1	0	1	2	3	0	
AT5G01390.1.faa	1	1	0	0	0	1	
AT5G01400.1.faa	1	1	1	1	1	1	
AT5G01410.1.faa	1	1	2	2	3	1	
AT5G01420.1.faa	1	1	1	1	1	1	
AT5G01430.1.faa	2	1	2	0	3	1	
AT5G01445.1.faa	1	1	0	0	0	1	
AT5G01450.1.faa	1	1	1	1	2	1	
AT5G01460.1.faa	1	1	0	0	0	1	
AT5G01470.6.faa	1	1	1	1	1	1	
AT5G01480.1.faa	1	0	1	1	2	0	
AT5G01490.1.faa	1	1	1	1	2	1	
AT5G01500.1.faa	1	1	1	1	3	1	
AT5G01510.1.faa	1	1	1	1	2	1	
AT5G01520.1.faa	1	1	1	1	2	1	
AT5G01530.1.faa	1	1	1	1	1	1	
AT5G01540.1.faa	1	1	1	1	2	1	
AT5G01550.1.faa	1	1	1	2	2	1	
AT5G01560.1.faa	1	1	2	2	4	1	
AT5G01570.1.faa	1	1	1	0	1	0	
AT5G01580.1.faa	1	1	1	1	2	1	
AT5G01590.1.faa	1	1	1	1	2	1	
AT5G01600.1.faa	1	1	1	1	2	1	
AT5G01610.2.faa	1	1	1	1	3	1	
AT5G01620.3.faa	1	1	2	1	3	1	
AT5G01630.1.faa	2	1	1	1	2	1	
AT5G01640.1.faa	2	1	0	1	1	1	
AT5G01650.3.faa	1	1	1	1	2	1	
AT5G01660.1.faa	1	1	1	1	2	1	
AT5G01670.2.faa	1	1	1	2	2	1	
AT5G01680.1.faa	1	1	0	0	0	1	
AT5G01690.1.faa	1	1	1	1	2	1	
AT5G01700.2.faa	1	1	1	2	2	1	
AT5G01710.1.faa	1	1	2	2	3	1	
AT5G01720.1.faa	1	1	1	1	2	1	
AT5G01730.1.faa	1	1	0	0	1	1	
AT5G01740.1.faa	1	1	1	1	1	1	
AT5G01750.2.faa	1	2	2	2	2	1	
AT5G01760.1.faa	1	2	1	1	2	2	
AT5G01770.1.faa	1	1	0	0	0	1	
AT5G01780.2.faa	1	1	0	0	0	0	
AT5G01790.1.faa	1	1	1	5	3	0	
AT5G01800.1.faa	1	1	0	4	1	1	
AT5G01810.1.faa	1	1	1	1	1	1	
AT5G01820.1.faa	1	1	1	1	1	1	
AT5G01830.1.faa	1	1	2	1	2	1	
AT5G01840.1.faa	1	1	1	1	1	1	
AT5G01850.2.faa	1	1	1	1	1	1	
AT5G01860.1.faa	1	1	2	3	2	1	
AT5G01870.1.faa	1	1	0	0	0	1	
AT5G01880.1.faa	1	1	1	1	1	1	
AT5G01881.1.faa	1	1	0	0	0	0	
AT5G01890.1.faa	1	1	1	1	1	1	
AT5G01900.1.faa	1	1	2	1	3	1	
AT5G01910.1.faa	1	1	1	1	2	1	
AT5G01920.1.faa	1	1	1	0	2	1	
AT5G01930.1.faa	1	1	1	1	2	1	
AT5G01940.3.faa	1	1	0	0	2	0	
AT5G01950.7.faa	1	1	1	1	3	1	
AT5G01960.1.faa	1	1	1	1	2	1	
AT5G01970.1.faa	1	1	0	0	0	1	
AT5G01980.1.faa	1	1	0	0	1	1	
AT5G01990.1.faa	1	1	2	3	4	1	
AT5G02000.1.faa	1	1	1	0	1	1	
AT5G02010.1.faa	1	1	1	1	2	1	
AT5G02020.1.faa	1	1	2	2	4	1	
AT5G02030.1.faa	1	1	3	3	6	1	
AT5G02040.1.faa	1	1	1	1	2	1	
AT5G02050.1.faa	1	1	2	1	2	1	
AT5G02060.1.faa	1	1	1	1	2	1	
AT5G02070.1.faa	1	1	1	1	2	1	
AT5G02080.5.faa	1	1	2	2	4	1	
AT5G02090.1.faa	1	1	1	2	4	1	
AT5G02100.1.faa	1	2	1	1	2	2	
AT5G02110.1.faa	1	1	2	2	4	0	
AT5G02120.1.faa	1	1	1	0	1	1	
AT5G02130.1.faa	1	1	2	1	4	1	
AT5G02140.1.faa	1	1	2	2	4	1	
AT5G02150.1.faa	1	1	0	0	0	1	
AT5G02160.1.faa	1	1	1	1	2	1	
AT5G02170.1.faa	1	1	0	0	2	1	
AT5G02180.1.faa	1	1	1	1	2	0	
AT5G02190.1.faa	1	1	1	1	2	1	
AT5G02200.2.faa	1	1	1	1	2	1	
AT5G02210.1.faa	1	1	0	0	0	1	
AT5G02220.1.faa	1	3	2	2	4	1	
AT5G02230.3.faa	1	1	2	2	4	1	
AT5G02240.1.faa	1	1	1	1	2	1	
AT5G02250.1.faa	1	1	1	1	2	1	
AT5G02260.1.faa	1	1	3	3	6	1	
AT5G02270.2.faa	1	1	2	2	3	1	
AT5G02280.1.faa	1	1	2	0	4	1	
AT5G02290.1.faa	1	1	3	4	6	1	
AT5G02310.1.faa	1	1	3	4	5	1	
AT5G02320.2.faa	1	1	1	1	2	1	
AT5G02340.1.faa	2	0	0	1	0	0	
AT5G02370.1.faa	1	1	0	2	2	1	
AT5G02380.1.faa	1	0	3	1	6	1	
AT5G02390.1.faa	1	1	2	2	4	1	
AT5G02400.1.faa	1	1	1	1	2	1	
AT5G02410.1.faa	1	1	1	2	4	1	
AT5G02420.1.faa	1	1	2	2	4	1	
AT5G02430.1.faa	1	1	2	2	4	1	
AT5G02440.1.faa	1	1	0	1	1	0	
AT5G02450.1.faa	1	1	0	0	0	1	
AT5G02460.1.faa	1	1	3	3	6	1	
AT5G02470.3.faa	1	1	2	2	4	1	
AT5G02480.1.faa	1	1	2	2	2	1	
AT5G02490.1.faa	1	1	0	0	0	1	
AT5G02500.1.faa	1	1	3	3	12	1	
AT5G02502.1.faa	1	1	0	1	3	0	
AT5G02510.2.faa	1	1	0	0	0	1	
AT5G02520.2.faa	1	1	1	1	2	1	
AT5G02530.1.faa	1	1	2	2	4	1	
AT5G02540.1.faa	1	1	2	3	6	1	
AT5G02550.1.faa	1	1	3	3	5	1	
AT5G02560.2.faa	1	0	1	1	1	0	
AT5G02570.1.faa	1	1	0	0	0	1	
AT5G02580.1.faa	1	1	1	2	3	2	
AT5G02590.1.faa	1	1	1	1	2	1	
AT5G02600.1.faa	1	1	2	2	4	1	
AT5G02610.2.faa	1	1	2	3	4	1	
AT5G02620.5.faa	1	0	1	1	2	1	
AT5G02630.1.faa	1	1	1	2	3	0	
AT5G02640.1.faa	1	1	2	2	4	1	
AT5G02700.1.faa	2	1	1	0	2	1	
AT5G02710.2.faa	1	1	1	3	4	1	
AT5G02720.2.faa	1	0	1	0	2	0	
AT5G02730.1.faa	1	0	1	1	2	0	
AT5G02740.1.faa	1	1	1	1	2	1	
AT5G02750.1.faa	1	1	2	4	4	1	
AT5G02760.1.faa	1	1	3	4	7	1	
AT5G02770.1.faa	1	1	2	2	4	2	
AT5G02780.3.faa	1	1	0	0	2	1	
AT5G02790.1.faa	1	0	2	1	1	1	
AT5G02800.1.faa	1	1	1	1	2	1	
AT5G02810.1.faa	1	1	1	2	4	1	
AT5G02820.1.faa	1	1	1	1	2	1	
AT5G02830.1.faa	1	0	1	1	2	1	
AT5G02840.1.faa	1	1	2	2	4	1	
AT5G02850.1.faa	1	1	1	1	1	1	
AT5G02860.2.faa	1	1	1	1	2	1	
AT5G02870.1.faa	1	1	5	5	10	1	
AT5G02880.1.faa	1	1	2	2	4	1	
AT5G02890.1.faa	1	1	4	2	7	1	
AT5G02900.1.faa	1	1	1	1	3	2	
AT5G02910.1.faa	1	1	1	1	2	1	
AT5G02920.1.faa	1	1	1	0	0	1	
AT5G02930.1.faa	1	0	1	1	1	0	
AT5G02940.2.faa	1	1	1	1	2	1	
AT5G02950.2.faa	1	1	1	1	2	1	
AT5G02960.1.faa	1	1	2	3	6	1	
AT5G02970.1.faa	1	1	1	1	2	1	
AT5G02980.1.faa	1	1	1	0	0	0	
AT5G02990.1.faa	1	1	0	0	0	1	
AT5G02995.1.faa	2	2	0	1	1	0	
AT5G03000.1.faa	1	2	0	0	0	2	
AT5G03020.1.faa	1	0	0	0	0	1	
AT5G03030.2.faa	1	1	3	3	7	1	
AT5G03040.1.faa	1	1	2	3	6	1	
AT5G03050.2.faa	1	1	2	2	4	1	
AT5G03060.1.faa	1	1	1	1	2	1	
AT5G03070.1.faa	1	1	2	2	4	1	
AT5G03080.1.faa	1	1	2	2	4	1	
AT5G03090.1.faa	2	1	0	0	0	0	
AT5G03100.1.faa	1	1	1	1	1	0	
AT5G03110.1.faa	1	1	1	1	2	1	
AT5G03120.2.faa	1	1	2	1	2	1	
AT5G03140.1.faa	1	1	1	1	2	1	
AT5G03150.1.faa	1	1	2	3	5	1	
AT5G03160.1.faa	1	1	1	1	2	1	
AT5G03170.1.faa	1	1	2	2	4	1	
AT5G03180.2.faa	1	1	2	4	6	1	
AT5G03190.2.faa	1	1	0	0	0	1	
AT5G03200.1.faa	1	1	2	2	5	1	
AT5G03204.1.faa	1	1	0	1	1	0	
AT5G03210.2.faa	1	1	1	3	6	1	
AT5G03220.1.faa	1	2	1	2	4	1	
AT5G03230.1.faa	1	1	2	2	4	1	
AT5G03240.3.faa	1	1	0	1	0	1	
AT5G03250.1.faa	1	0	1	2	4	1	
AT5G03260.1.faa	1	1	2	1	4	1	
AT5G03270.1.faa	1	1	0	0	2	1	
AT5G03280.1.faa	1	1	1	1	2	1	
AT5G03290.1.faa	1	1	3	3	6	1	
AT5G03300.1.faa	1	2	2	1	4	2	
AT5G03310.1.faa	1	1	2	2	4	1	
AT5G03320.2.faa	1	1	2	2	4	1	
AT5G03330.1.faa	1	1	2	3	5	1	
AT5G03340.1.faa	1	1	0	0	0	1	
AT5G03345.2.faa	1	1	1	1	2	1	
AT5G03350.1.faa	1	0	1	1	2	1	
AT5G03370.1.faa	1	1	0	1	2	1	
AT5G03380.1.faa	1	1	3	3	6	1	
AT5G03390.1.faa	1	4	1	2	3	2	
AT5G03406.1.faa	1	1	1	1	1	1	
AT5G03415.1.faa	1	1	1	2	4	1	
AT5G03420.1.faa	1	1	1	1	1	1	
AT5G03430.1.faa	1	1	3	2	6	1	
AT5G03435.1.faa	1	0	1	1	2	0	
AT5G03440.3.faa	1	1	1	1	2	1	
AT5G03450.1.faa	1	1	1	1	2	1	
AT5G03455.1.faa	1	1	1	1	2	0	
AT5G03460.1.faa	1	1	1	2	4	1	
AT5G03470.1.faa	1	1	2	1	5	1	
AT5G03480.1.faa	1	2	0	0	0	2	
AT5G03490.1.faa	1	1	0	1	0	1	
AT5G03495.1.faa	1	1	0	0	0	0	
AT5G03500.6.faa	1	1	1	0	0	1	
AT5G03510.1.faa	1	1	3	3	7	1	
AT5G03520.1.faa	1	1	1	1	2	1	
AT5G03530.1.faa	1	1	2	2	5	1	
AT5G03540.3.faa	1	1	2	2	4	1	
AT5G03545.1.faa	1	1	0	1	2	1	
AT5G03550.1.faa	1	1	1	1	1	1	
AT5G03555.1.faa	1	1	1	1	2	1	
AT5G03570.3.faa	1	1	1	1	2	1	
AT5G03580.1.faa	1	1	2	2	4	1	
AT5G03590.3.faa	1	1	0	0	0	1	
AT5G03600.2.faa	1	1	0	0	0	1	
AT5G03610.1.faa	1	1	0	1	3	1	
AT5G03620.1.faa	1	1	1	1	2	1	
AT5G03630.1.faa	1	1	1	1	2	1	
AT5G03640.1.faa	1	1	1	1	2	1	
AT5G03650.1.faa	1	1	1	1	2	1	
AT5G03660.1.faa	1	1	1	1	2	1	
AT5G03670.1.faa	1	1	2	2	4	1	
AT5G03680.1.faa	1	1	3	3	6	1	
AT5G03690.1.faa	1	1	1	1	0	1	
AT5G03700.1.faa	1	1	1	1	2	1	
AT5G03720.1.faa	1	1	1	1	2	1	
AT5G03730.1.faa	1	1	2	2	4	1	
AT5G03740.1.faa	1	1	1	1	2	1	
AT5G03760.1.faa	1	1	2	2	4	1	
AT5G03770.1.faa	1	1	1	1	2	1	
AT5G03780.1.faa	1	1	1	1	2	1	
AT5G03790.1.faa	1	1	2	3	6	1	
AT5G03795.1.faa	1	1	2	2	4	1	
AT5G03800.1.faa	1	1	1	1	2	1	
AT5G03810.1.faa	2	1	3	2	4	0	
AT5G03830.2.faa	1	1	0	0	0	0	
AT5G03840.1.faa	1	1	3	3	5	1	
AT5G03850.1.faa	1	1	3	2	6	1	
AT5G03860.1.faa	1	1	1	1	2	1	
AT5G03870.1.faa	1	1	2	2	4	1	
AT5G03880.1.faa	1	1	2	2	4	1	
AT5G03890.1.faa	1	1	2	1	5	1	
AT5G03900.2.faa	1	1	1	1	3	1	
AT5G03905.1.faa	1	1	2	1	4	1	
AT5G03910.1.faa	1	1	1	1	2	1	
AT5G03920.1.faa	1	1	0	0	0	1	
AT5G03930.1.faa	1	1	0	0	0	1	
AT5G03940.1.faa	1	2	2	2	5	1	
AT5G03960.2.faa	1	2	2	2	6	2	
AT5G03970.1.faa	1	1	2	3	5	1	
AT5G03980.1.faa	1	2	1	1	2	2	
AT5G03990.1.faa	1	1	1	2	2	1	
AT5G03995.1.faa	1	1	0	0	0	0	
AT5G04000.2.faa	1	1	0	0	0	1	
AT5G04010.1.faa	1	1	3	4	7	1	
AT5G04020.2.faa	1	1	1	1	2	1	
AT5G04030.1.faa	1	1	1	1	2	0	
AT5G04040.1.faa	1	1	2	4	5	1	
AT5G04045.1.faa	1	3	1	2	5	0	
AT5G04047.1.faa	1	1	0	0	0	0	
AT5G04050.2.faa	1	0	1	1	0	1	
AT5G04060.1.faa	1	1	1	1	2	1	
AT5G04070.1.faa	1	1	1	0	2	1	
AT5G04080.1.faa	1	1	2	2	4	1	
AT5G04090.6.faa	1	1	0	0	0	1	
AT5G04110.2.faa	1	0	2	2	4	1	
AT5G04120.1.faa	1	1	3	3	6	1	
AT5G04130.1.faa	1	1	2	1	3	1	
AT5G04140.2.faa	1	1	1	1	2	1	
AT5G04150.1.faa	1	1	0	1	1	1	
AT5G04160.1.faa	1	1	2	2	4	1	
AT5G04170.1.faa	1	1	2	2	4	1	
AT5G04180.1.faa	1	1	1	1	2	1	
AT5G04190.1.faa	1	1	1	2	4	1	
AT5G04200.1.faa	1	1	2	2	4	1	
AT5G04210.1.faa	1	0	0	1	0	1	
AT5G04220.2.faa	1	1	1	1	2	1	
AT5G04230.2.faa	1	1	2	1	3	1	
AT5G04240.1.faa	1	1	1	1	2	1	
AT5G04250.1.faa	1	1	0	1	1	0	
AT5G04260.1.faa	1	1	1	1	2	1	
AT5G04270.1.faa	1	1	1	1	2	1	
AT5G04280.1.faa	1	1	1	1	2	1	
AT5G04290.1.faa	1	1	1	1	2	1	
AT5G04310.1.faa	1	1	2	2	4	1	
AT5G04320.2.faa	1	1	1	1	3	1	
AT5G04330.1.faa	1	1	0	2	2	2	
AT5G04340.1.faa	1	1	1	1	2	1	
AT5G04347.2.faa	1	1	1	2	3	1	
AT5G04350.1.faa	1	0	0	1	1	0	
AT5G04360.2.faa	1	1	2	1	3	1	
AT5G04370.2.faa	1	1	1	1	3	1	
AT5G04380.3.faa	1	0	1	0	2	0	
AT5G04390.1.faa	1	1	3	3	6	1	
AT5G04395.1.faa	1	0	1	0	2	0	
AT5G04400.1.faa	1	0	0	0	0	1	
AT5G04410.1.faa	1	1	2	2	4	1	
AT5G04420.3.faa	1	1	1	1	2	1	
AT5G04430.2.faa	1	1	3	3	6	1	
AT5G04440.1.faa	1	1	1	2	3	1	
AT5G04460.1.faa	1	1	1	2	2	1	
AT5G04470.1.faa	1	1	3	3	6	1	
AT5G04480.1.faa	1	1	1	2	3	1	
AT5G04490.1.faa	1	1	2	2	4	1	
AT5G04500.1.faa	1	1	2	2	4	1	
AT5G04510.1.faa	1	1	1	1	2	1	
AT5G04520.1.faa	1	1	1	1	2	1	
AT5G04530.1.faa	1	1	1	1	2	1	
AT5G04540.1.faa	1	1	2	2	4	1	
AT5G04550.2.faa	1	1	2	3	5	1	
AT5G04560.2.faa	1	1	1	1	2	1	
AT5G04590.1.faa	1	1	1	1	2	1	
AT5G04600.1.faa	1	1	2	2	4	1	
AT5G04610.1.faa	1	1	1	1	2	2	
AT5G04620.2.faa	1	1	1	1	2	2	
AT5G04630.1.faa	1	1	1	1	2	2	
AT5G04640.1.faa	1	1	1	1	2	2	
AT5G04670.1.faa	1	1	2	2	4	1	
AT5G04660.1.faa	1	1	1	1	2	1	
AT5G04680.1.faa	1	0	1	1	1	0	
AT5G04690.2.faa	1	1	0	0	0	1	
AT5G04700.1.faa	1	1	0	0	1	0	
AT5G04710.1.faa	1	1	1	1	2	1	
AT5G04720.1.faa	1	1	1	1	2	1	
AT5G04730.1.faa	1	1	1	0	2	1	
AT5G04740.1.faa	1	1	3	3	6	1	
AT5G04760.1.faa	1	1	3	3	5	1	
AT5G04770.1.faa	1	1	1	1	2	1	
AT5G04780.1.faa	1	1	1	1	2	1	
AT5G04800.2.faa	3	1	4	2	8	1	
AT5G04810.1.faa	1	1	1	1	2	1	
AT5G04820.1.faa	1	1	2	2	4	1	
AT5G04830.2.faa	1	1	2	1	4	1	
AT5G04840.1.faa	1	1	1	1	2	1	
AT5G04850.2.faa	1	1	2	2	4	1	
AT5G04860.1.faa	2	1	1	1	2	1	
AT5G04870.1.faa	1	1	2	2	4	1	
AT5G04885.2.faa	1	1	2	2	4	1	
AT5G04890.1.faa	1	1	2	3	3	1	
AT5G04895.1.faa	1	1	1	1	2	1	
AT5G04900.1.faa	1	1	1	1	3	1	
AT5G04910.1.faa	1	1	1	1	2	1	
AT5G04920.1.faa	1	1	1	1	2	1	
AT5G04930.1.faa	1	1	2	1	4	0	
AT5G04940.2.faa	1	1	4	2	6	0	
AT5G04950.1.faa	1	1	2	2	4	0	
AT5G04960.1.faa	1	1	1	1	2	0	
AT5G04970.1.faa	1	1	2	2	4	0	
AT5G04980.2.faa	1	1	2	2	4	0	
AT5G04990.1.faa	1	1	0	0	1	1	
AT5G05000.3.faa	1	1	1	2	4	0	
AT5G05010.1.faa	1	1	3	3	6	0	
AT5G05020.1.faa	1	0	1	3	5	0	
AT5G05030.1.faa	1	1	0	2	3	0	
AT5G05040.1.faa	2	1	1	0	1	0	
AT5G05050.1.faa	1	0	0	0	1	1	
AT5G05070.1.faa	1	1	1	1	2	0	
AT5G05080.3.faa	1	1	2	4	5	1	
AT5G05090.1.faa	1	1	2	3	3	1	
AT5G05100.1.faa	1	1	1	1	2	1	
AT5G05110.1.faa	1	1	1	1	2	1	
AT5G05120.1.faa	1	1	2	1	3	1	
AT5G05130.1.faa	1	1	1	2	2	1	
AT5G05140.1.faa	1	1	3	3	6	0	
AT5G05150.1.faa	1	1	1	1	2	1	
AT5G05160.1.faa	1	1	1	1	2	1	
AT5G05170.1.faa	1	1	2	2	4	1	
AT5G05180.1.faa	1	1	1	1	2	1	
AT5G05190.1.faa	1	1	2	2	4	1	
AT5G05200.1.faa	1	1	2	2	4	1	
AT5G05210.1.faa	1	1	2	2	4	1	
AT5G05220.1.faa	1	1	1	1	1	1	
AT5G05230.1.faa	1	1	1	1	2	1	
AT5G05240.1.faa	1	1	2	2	3	1	
AT5G05250.1.faa	1	1	1	1	2	1	
AT5G05260.2.faa	1	1	1	4	5	1	
AT5G05270.1.faa	1	1	1	1	2	1	
AT5G05280.1.faa	1	1	0	1	1	1	
AT5G05290.1.faa	1	1	2	2	5	1	
AT5G05300.1.faa	1	1	0	1	1	1	
AT5G05310.7.faa	1	1	1	1	2	1	
AT5G05320.1.faa	1	0	0	0	0	1	
AT5G05330.1.faa	1	1	2	2	4	1	
AT5G05340.1.faa	1	1	2	2	4	1	
AT5G05350.1.faa	1	1	1	1	2	1	
AT5G05360.1.faa	1	1	1	1	2	1	
AT5G05365.1.faa	1	2	1	0	2	1	
AT5G05370.1.faa	1	1	1	1	2	1	
AT5G05380.2.faa	1	1	1	1	1	0	
AT5G05390.1.faa	1	1	2	2	4	1	
AT5G05400.1.faa	1	1	0	0	0	1	
AT5G05410.1.faa	1	1	3	2	4	1	
AT5G05420.1.faa	1	2	0	0	0	2	
AT5G05430.2.faa	1	2	0	0	1	1	
AT5G05440.1.faa	1	1	3	2	5	1	
AT5G05450.1.faa	1	1	2	2	3	1	
AT5G05460.1.faa	1	1	1	1	0	2	
AT5G05470.1.faa	1	2	0	0	0	1	
AT5G05480.1.faa	1	1	1	1	2	1	
AT5G05490.1.faa	1	1	1	1	2	1	
AT5G05500.1.faa	1	1	2	2	3	1	
AT5G05510.1.faa	1	1	1	1	2	1	
AT5G05520.1.faa	1	1	1	1	2	1	
